scope,map_size,structure_type,algorithm,cases,manhattan_expanded_cells,algorithm_expanded_cells,expansion_reduction_vs_manhattan,expansion_reduction_fraction_vs_manhattan,total_neural_inference_seconds,saved_expansions_per_neural_second,unet_inference_calls,saved_expansions_per_inference_call
map_size_structure,500,bottleneck,region_cache_patch_32,100,4098861.0,2660734.0,1438127.0,0.35086015358900924,97.1498346852677,14803.185251514225,10977.0,131.01275394005648
map_size_structure,500,bottleneck,region_cache_patch_64,100,4098861.0,2884657.0,1214204.0,0.29622961110415796,60.50857457382517,20066.64358815091,3033.0,400.3310253874052
map_size_structure,500,large_block,manhattan_astar,100,2907518.0,2907518.0,0.0,0.0,0.0,,0,
map_size_structure,500,large_block,full_map_unet_tiebreak,100,2907518.0,1587681.0,1319837.0,0.45393940811372446,84.079228210976,15697.53942897996,100.0,13198.37
map_size_structure,500,large_block,region_cache_patch_32,100,2907518.0,806959.0,2100559.0,0.722457780141,29.150371387571795,72059.42497513322,5027.0,417.8553809429083
map_size_structure,500,large_block,region_cache_patch_64,100,2907518.0,1131345.0,1776173.0,0.6108897692120908,27.879167347666225,63709.686083888155,1684.0,1054.7345605700712
map_size_structure,500,maze_like,manhattan_astar,100,470.0,470.0,0.0,0.0,0.0,,0,
map_size_structure,500,maze_like,full_map_unet_tiebreak,100,470.0,345.0,125.0,0.26595744680851063,32.724173913986306,3.8198061264603846,100.0,1.25
map_size_structure,500,maze_like,region_cache_patch_32,100,470.0,343.0,127.0,0.2702127659574468,0.7371920000005048,172.27533668286287,60.0,2.1166666666666667
map_size_structure,500,maze_like,region_cache_patch_64,100,470.0,343.0,127.0,0.2702127659574468,1.5810488409624668,80.32642427585506,60.0,2.1166666666666667
map_size_structure,500,narrow_corridor,manhattan_astar,100,2503736.0,2503736.0,0.0,0.0,0.0,,0,
map_size_structure,500,narrow_corridor,full_map_unet_tiebreak,100,2503736.0,1673950.0,829786.0,0.3314191272562283,69.68679866596358,11907.362884862783,100.0,8297.86
map_size_structure,500,narrow_corridor,region_cache_patch_32,100,2503736.0,1420245.0,1083491.0,0.4327496988500385,40.20542391760682,26948.876405840256,7064.0,153.38207814269535
map_size_structure,500,narrow_corridor,region_cache_patch_64,100,2503736.0,1533403.0,970333.0,0.38755403924375414,37.38110770676576,25957.84500587112,2107.0,460.5282392026578
map_size_structure,500,open_random,manhattan_astar,100,1785351.0,1785351.0,0.0,0.0,0.0,,0,
map_size_structure,500,open_random,full_map_unet_tiebreak,100,1785351.0,1154059.0,631292.0,0.3535954554594587,43.62720683799853,14470.144796209044,100.0,6312.92
map_size_structure,500,open_random,region_cache_patch_32,100,1785351.0,1055399.0,729952.0,0.4088562977252092,23.660224069986725,30851.440706597226,6214.0,117.46894110074027
map_size_structure,500,open_random,region_cache_patch_64,100,1785351.0,1121403.0,663948.0,0.37188653659700527,16.87200041995675,39352.061609402335,1840.0,360.8413043478261
map_size_structure,1000,bottleneck,manhattan_astar,100,17025207.0,17025207.0,0.0,0.0,0.0,,0,
map_size_structure,1000,bottleneck,full_map_unet_tiebreak,100,17025207.0,12761741.0,4263466.0,0.25042080251946425,106.96115838104743,39859.94602649562,100.0,42634.66
map_size_structure,1000,bottleneck,region_cache_patch_32,100,17025207.0,12052815.0,4972392.0,0.2920605899241049,29.808459052379476,166811.4407142786,45669.0,108.87893319319451
map_size_structure,1000,bottleneck,region_cache_patch_64,100,17025207.0,12304337.0,4720870.0,0.27728708379287254,16.172970328552765,291898.7609632526,11730.0,402.461210571185
map_size_structure,1000,large_block,manhattan_astar,100,9648517.0,9648517.0,0.0,0.0,0.0,,0,
map_size_structure,1000,large_block,full_map_unet_tiebreak,100,9648517.0,5082373.0,4566144.0,0.4732482722474345,82.1932521299459,55553.75753694496,100.0,45661.44
map_size_structure,1000,large_block,region_cache_patch_32,100,9648517.0,1478812.0,8169705.0,0.8467316790756548,6.8178565006528515,1198280.5738457094,10561.0,773.5730517943376
map_size_structure,1000,large_block,region_cache_patch_64,100,9648517.0,2490554.0,7157963.0,0.7418718337750765,4.829856551674311,1482023.9324744812,3485.0,2053.9348637015783
map_size_structure,1000,maze_like,manhattan_astar,100,10982.0,10982.0,0.0,0.0,0.0,,0,
map_size_structure,1000,maze_like,full_map_unet_tiebreak,100,10982.0,10425.0,557.0,0.05071935895101074,47.728177758079255,11.670254892681568,100.0,5.57
map_size_structure,1000,maze_like,region_cache_patch_32,100,10982.0,10778.0,204.0,0.018575851393188854,0.17321386803814676,1177.7347986656198,252.0,0.8095238095238095
map_size_structure,1000,maze_like,region_cache_patch_64,100,10982.0,10817.0,165.0,0.015024585685667455,0.23227983605465852,710.3500794669638,154.0,1.0714285714285714
map_size_structure,1000,narrow_corridor,manhattan_astar,100,8172946.0,8172946.0,0.0,0.0,0.0,,0,
map_size_structure,1000,narrow_corridor,full_map_unet_tiebreak,100,8172946.0,5035638.0,3137308.0,0.3838650102423288,83.11529187604901,37746.45951648357,100.0,31373.08
map_size_structure,1000,narrow_corridor,region_cache_patch_32,100,8172946.0,4545238.0,3627708.0,0.4438678537702317,13.592603974713711,266888.37596891786,20419.0,177.6633527596846
map_size_structure,1000,narrow_corridor,region_cache_patch_64,100,8172946.0,4484686.0,3688260.0,0.45127668774515334,8.049400520016206,458203.0662815837,5537.0,666.1116127867076
map_size_structure,1000,open_random,manhattan_astar,100,6071633.0,6071633.0,0.0,0.0,0.0,,0,
map_size_structure,1000,open_random,full_map_unet_tiebreak,100,6071633.0,4689121.0,1382512.0,0.22770019202412267,118.56487262889277,11660.384474305918,100.0,13825.12
map_size_structure,1000,open_random,region_cache_patch_32,100,6071633.0,4307801.0,1763832.0,0.29050372445106615,17.64570490611368,99958.14898779635,23314.0,75.65548597409283
map_size_structure,1000,open_random,region_cache_patch_64,100,6071633.0,4592549.0,1479084.0,0.24360563294915882,11.32278482314723,130628.99481903961,6577.0,224.8873346510567
