scope,map_size,structure_type,algorithm,cases,expanded_cells,tie_break_queried_cells,predicted_expanded_cell_overlap,expanded_search_coverage_ratio,predicted_tie_query_cell_overlap,tie_query_search_coverage_ratio,tie_queries_per_expanded_cell,overlap_observability
map_size_structure,500,maze_like,full_map_unet_tiebreak,100,345.0,,345.0,1.0,,,,expanded_overlap_exact_full_map; tie_queries_not_logged
map_size_structure,500,maze_like,region_cache_patch_32,100,343.0,296.0,,,296.0,1.0,0.8629737609329446,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,500,maze_like,region_cache_patch_64,100,343.0,296.0,,,296.0,1.0,0.8629737609329446,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,500,narrow_corridor,manhattan_astar,100,2503736.0,0.0,,,,,0.0,no_unet
map_size_structure,500,narrow_corridor,full_map_unet_tiebreak,100,1673950.0,,1673950.0,1.0,,,,expanded_overlap_exact_full_map; tie_queries_not_logged
map_size_structure,500,narrow_corridor,region_cache_patch_32,100,1420245.0,1472568.0,,,1472568.0,1.0,1.0368408267587634,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,500,narrow_corridor,region_cache_patch_64,100,1533403.0,1583052.0,,,1583052.0,1.0,1.032378311507151,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,500,open_random,manhattan_astar,100,1785351.0,0.0,,,,,0.0,no_unet
map_size_structure,500,open_random,full_map_unet_tiebreak,100,1154059.0,,1154059.0,1.0,,,,expanded_overlap_exact_full_map; tie_queries_not_logged
map_size_structure,500,open_random,region_cache_patch_32,100,1055399.0,1087603.0,,,1087603.0,1.0,1.0305135782770307,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,500,open_random,region_cache_patch_64,100,1121403.0,1147307.0,,,1147307.0,1.0,1.0230996350107855,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,1000,bottleneck,manhattan_astar,100,17025207.0,0.0,,,,,0.0,no_unet
map_size_structure,1000,bottleneck,full_map_unet_tiebreak,100,12761741.0,,12761741.0,1.0,,,,expanded_overlap_exact_full_map; tie_queries_not_logged
map_size_structure,1000,bottleneck,region_cache_patch_32,100,12052815.0,12254113.0,,,12254113.0,1.0,1.016701326619549,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,1000,bottleneck,region_cache_patch_64,100,12304337.0,12468137.0,,,12468137.0,1.0,1.0133123792041783,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,1000,large_block,manhattan_astar,100,9648517.0,0.0,,,,,0.0,no_unet
map_size_structure,1000,large_block,full_map_unet_tiebreak,100,5082373.0,,5082373.0,1.0,,,,expanded_overlap_exact_full_map; tie_queries_not_logged
map_size_structure,1000,large_block,region_cache_patch_32,100,1478812.0,1598611.0,,,1598611.0,1.0,1.0810102974549842,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,1000,large_block,region_cache_patch_64,100,2490554.0,2721568.0,,,2721568.0,1.0,1.092756069533124,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,1000,maze_like,manhattan_astar,100,10982.0,0.0,,,,,0.0,no_unet
map_size_structure,1000,maze_like,full_map_unet_tiebreak,100,10425.0,,10425.0,1.0,,,,expanded_overlap_exact_full_map; tie_queries_not_logged
map_size_structure,1000,maze_like,region_cache_patch_32,100,10778.0,10699.0,,,10699.0,1.0,0.9926702542215624,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,1000,maze_like,region_cache_patch_64,100,10817.0,10693.0,,,10693.0,1.0,0.9885365628177868,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,1000,narrow_corridor,manhattan_astar,100,8172946.0,0.0,,,,,0.0,no_unet
map_size_structure,1000,narrow_corridor,full_map_unet_tiebreak,100,5035638.0,,5035638.0,1.0,,,,expanded_overlap_exact_full_map; tie_queries_not_logged
map_size_structure,1000,narrow_corridor,region_cache_patch_32,100,4545238.0,4704865.0,,,4704865.0,1.0,1.035119613098368,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,1000,narrow_corridor,region_cache_patch_64,100,4484686.0,4626399.0,,,4626399.0,1.0,1.0315993137535158,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,1000,open_random,manhattan_astar,100,6071633.0,0.0,,,,,0.0,no_unet
map_size_structure,1000,open_random,full_map_unet_tiebreak,100,4689121.0,,4689121.0,1.0,,,,expanded_overlap_exact_full_map; tie_queries_not_logged
map_size_structure,1000,open_random,region_cache_patch_32,100,4307801.0,4392206.0,,,4392206.0,1.0,1.0195935234705595,tie_query_overlap_exact; expanded_overlap_not_logged
map_size_structure,1000,open_random,region_cache_patch_64,100,4592549.0,4661136.0,,,4661136.0,1.0,1.0149344078854683,tie_query_overlap_exact; expanded_overlap_not_logged
