scope,map_size,structure_type,algorithm,cases,unet_inference_calls,total_predicted_patch_output_cells,unique_in_map_predicted_cells,redundant_prediction_ratio,total_neural_inference_seconds,mean_neural_inference_seconds_per_call,neural_cost_observability
map_size_structure,500,narrow_corridor,region_cache_patch_64,100,2107.0,8630272,,,37.38110770676576,0.017741389514364384,unique_patch_coverage_not_logged
map_size_structure,500,open_random,manhattan_astar,100,0,0,0,0.0,0.0,,no_unet
map_size_structure,500,open_random,full_map_unet_tiebreak,100,100.0,25000000,25000000,0.0,43.62720683799853,0.4362720683799853,exact_full_map
map_size_structure,500,open_random,region_cache_patch_32,100,6214.0,6363136,,,23.660224069986725,0.0038075674396502615,unique_patch_coverage_not_logged
map_size_structure,500,open_random,region_cache_patch_64,100,1840.0,7536640,,,16.87200041995675,0.009169565445628667,unique_patch_coverage_not_logged
map_size_structure,1000,bottleneck,manhattan_astar,100,0,0,0,0.0,0.0,,no_unet
map_size_structure,1000,bottleneck,full_map_unet_tiebreak,100,100.0,100000000,100000000,0.0,106.96115838104743,1.0696115838104743,exact_full_map
map_size_structure,1000,bottleneck,region_cache_patch_32,100,45669.0,46765056,,,29.808459052379476,0.000652706629275427,unique_patch_coverage_not_logged
map_size_structure,1000,bottleneck,region_cache_patch_64,100,11730.0,48046080,,,16.172970328552765,0.0013787698489814803,unique_patch_coverage_not_logged
map_size_structure,1000,large_block,manhattan_astar,100,0,0,0,0.0,0.0,,no_unet
map_size_structure,1000,large_block,full_map_unet_tiebreak,100,100.0,100000000,100000000,0.0,82.1932521299459,0.821932521299459,exact_full_map
map_size_structure,1000,large_block,region_cache_patch_32,100,10561.0,10814464,,,6.8178565006528515,0.0006455692169920321,unique_patch_coverage_not_logged
map_size_structure,1000,large_block,region_cache_patch_64,100,3485.0,14274560,,,4.829856551674311,0.0013858985801074063,unique_patch_coverage_not_logged
map_size_structure,1000,maze_like,manhattan_astar,100,0,0,0,0.0,0.0,,no_unet
map_size_structure,1000,maze_like,full_map_unet_tiebreak,100,100.0,100000000,100000000,0.0,47.728177758079255,0.47728177758079254,exact_full_map
map_size_structure,1000,maze_like,region_cache_patch_32,100,252.0,258048,,,0.17321386803814676,0.0006873566191989951,unique_patch_coverage_not_logged
map_size_structure,1000,maze_like,region_cache_patch_64,100,154.0,630784,,,0.23227983605465852,0.0015083106237315487,unique_patch_coverage_not_logged
map_size_structure,1000,narrow_corridor,manhattan_astar,100,0,0,0,0.0,0.0,,no_unet
map_size_structure,1000,narrow_corridor,full_map_unet_tiebreak,100,100.0,100000000,100000000,0.0,83.11529187604901,0.8311529187604901,exact_full_map
map_size_structure,1000,narrow_corridor,region_cache_patch_32,100,20419.0,20909056,,,13.592603974713711,0.000665684116495113,unique_patch_coverage_not_logged
map_size_structure,1000,narrow_corridor,region_cache_patch_64,100,5537.0,22679552,,,8.049400520016206,0.001453747610622396,unique_patch_coverage_not_logged
map_size_structure,1000,open_random,manhattan_astar,100,0,0,0,0.0,0.0,,no_unet
map_size_structure,1000,open_random,full_map_unet_tiebreak,100,100.0,100000000,100000000,0.0,118.56487262889277,1.1856487262889277,exact_full_map
map_size_structure,1000,open_random,region_cache_patch_32,100,23314.0,23873536,,,17.64570490611368,0.0007568716181742162,unique_patch_coverage_not_logged
map_size_structure,1000,open_random,region_cache_patch_64,100,6577.0,26939392,,,11.32278482314723,0.0017215728786904715,unique_patch_coverage_not_logged
