scope,map_size,structure_type,algorithm,cases,total_cache_queries,cache_hits,cache_misses,cache_hit_rate_weighted,mean_per_case_cache_hit_rate,cache_reuse_factor_queries_per_miss,cache_observability
map_size_structure,500,open_random,full_map_unet_tiebreak,100,,,,,,,not_a_region_cache_method
map_size_structure,500,open_random,region_cache_patch_32,100,1087603.0,1081389.0,6214.0,0.9942865181504649,0.9908885196154306,175.02462182169296,exact_aggregate_counts
map_size_structure,500,open_random,region_cache_patch_64,100,1147307.0,1145467.0,1840.0,0.9983962444228093,0.9957691512873439,623.5364130434782,exact_aggregate_counts
map_size_structure,1000,bottleneck,manhattan_astar,100,,,,,,,not_a_region_cache_method
map_size_structure,1000,bottleneck,full_map_unet_tiebreak,100,,,,,,,not_a_region_cache_method
map_size_structure,1000,bottleneck,region_cache_patch_32,100,12254113.0,12208444.0,45669.0,0.9962731696696447,0.992531512529033,268.32453086338654,exact_aggregate_counts
map_size_structure,1000,bottleneck,region_cache_patch_64,100,12468137.0,12456407.0,11730.0,0.9990592018679294,0.9979869594344113,1062.9272804774084,exact_aggregate_counts
map_size_structure,1000,large_block,manhattan_astar,100,,,,,,,not_a_region_cache_method
map_size_structure,1000,large_block,full_map_unet_tiebreak,100,,,,,,,not_a_region_cache_method
map_size_structure,1000,large_block,region_cache_patch_32,100,1598611.0,1588050.0,10561.0,0.9933936398535979,0.9773430122606108,151.36928321181705,exact_aggregate_counts
map_size_structure,1000,large_block,region_cache_patch_64,100,2721568.0,2718083.0,3485.0,0.9987194881774036,0.9973085640650692,780.9377331420374,exact_aggregate_counts
map_size_structure,1000,maze_like,manhattan_astar,100,,,,,,,not_a_region_cache_method
map_size_structure,1000,maze_like,full_map_unet_tiebreak,100,,,,,,,not_a_region_cache_method
map_size_structure,1000,maze_like,region_cache_patch_32,100,10699.0,10447.0,252.0,0.9764463968595196,0.42770182186353284,42.45634920634921,exact_aggregate_counts
map_size_structure,1000,maze_like,region_cache_patch_64,100,10693.0,10539.0,154.0,0.9855980548022071,0.427879575623694,69.43506493506493,exact_aggregate_counts
map_size_structure,1000,narrow_corridor,manhattan_astar,100,,,,,,,not_a_region_cache_method
map_size_structure,1000,narrow_corridor,full_map_unet_tiebreak,100,,,,,,,not_a_region_cache_method
map_size_structure,1000,narrow_corridor,region_cache_patch_32,100,4704865.0,4684446.0,20419.0,0.9956600242514929,0.9908084430841927,230.41603408590038,exact_aggregate_counts
map_size_structure,1000,narrow_corridor,region_cache_patch_64,100,4626399.0,4620862.0,5537.0,0.998803172834855,0.9974548866574644,835.5425320570706,exact_aggregate_counts
map_size_structure,1000,open_random,manhattan_astar,100,,,,,,,not_a_region_cache_method
map_size_structure,1000,open_random,full_map_unet_tiebreak,100,,,,,,,not_a_region_cache_method
map_size_structure,1000,open_random,region_cache_patch_32,100,4392206.0,4368892.0,23314.0,0.9946919611693987,0.9477594301386166,188.39349746933172,exact_aggregate_counts
map_size_structure,1000,open_random,region_cache_patch_64,100,4661136.0,4654559.0,6577.0,0.9985889705857113,0.9519876746542991,708.7024479245857,exact_aggregate_counts
