map_size,structure_type,algorithm,sample_count,mean_expanded_nodes,std_expanded_nodes,mean_expansion_reduction,std_expansion_reduction,mean_runtime_seconds,std_runtime_seconds,mean_runtime_ratio,std_runtime_ratio,mean_runtime_overhead,tradeoff_category
1000,bottleneck,full_map_unet_tiebreak,50,97423.54,132985.62599442241,0.43724732374067016,0.28890279370512606,0.5326981262156542,0.5505978999468789,7.765972940119972,18.670801377473655,6.765972940119972,large_search_gain_runtime_worse
1000,bottleneck,region_cache_patch_32,50,91369.42,134043.2224775412,0.5113175462893788,0.32876864551535045,2.184379886979998,3.2605934454143237,9.429069068438595,5.997686649118772,8.429069068438595,large_search_gain_runtime_worse
1000,bottleneck,region_cache_patch_64,50,96804.18,131080.24891152594,0.459716195577115,0.3037155268723697,1.4826113819800049,2.0240163847127826,7.322699881662053,5.293506208666309,6.322699881662053,large_search_gain_runtime_worse
1000,large_block,full_map_unet_tiebreak,50,50040.4,59689.51952998114,0.5506814956733505,0.22195866545662069,0.33744344510590285,0.36313223857139465,16.148748427617654,85.8384256095452,15.148748427617654,large_search_gain_runtime_worse
1000,large_block,region_cache_patch_32,50,10263.1,18344.747455607012,0.859962386505175,0.234546290643437,0.46663946755999175,0.7478589520718144,4.863708876090787,6.167087785812581,3.8637088760907874,large_search_gain_runtime_worse
1000,large_block,region_cache_patch_64,50,22912.58,27262.375997766594,0.7372633433476921,0.23948106983278172,0.3751521881799954,0.3637297900703893,6.037824127153731,16.31869028648111,5.037824127153731,large_search_gain_runtime_worse
1000,maze_like,full_map_unet_tiebreak,50,14.64,79.91489473183331,0.16777777777777778,0.16820677310536136,0.05747508645310998,0.01085594387746815,3079.234561203505,928.201113396533,3078.234561203505,small_search_gain_runtime_worse
1000,maze_like,region_cache_patch_32,50,14.64,79.91489473183331,0.16777777777777778,0.16820677310536136,0.002906068779997213,0.0027611890009771067,142.20870976001385,138.63439901471466,141.20870976001385,small_search_gain_runtime_worse
1000,maze_like,region_cache_patch_64,50,14.64,79.91489473183331,0.16777777777777778,0.16820677310536136,0.0058074213399982,0.005595892435212486,283.76350022044994,278.1470881159577,282.76350022044994,small_search_gain_runtime_worse
1000,narrow_corridor,full_map_unet_tiebreak,50,60476.22,72479.65573160237,0.399066462209175,0.2532963557374162,0.3270156538551095,0.33112243864750956,5.7087768716279275,11.645181429732046,4.7087768716279275,large_search_gain_runtime_worse
1000,narrow_corridor,region_cache_patch_32,50,50483.3,64742.906515926516,0.48487505478352355,0.29330078213447924,0.9640180659600105,1.0254379369247693,10.151832585714736,8.209988412904924,9.151832585714736,large_search_gain_runtime_worse
