map_size,structure_type,algorithm,component,completed_cases,mean_seconds,fraction_of_total
1000,open_random,region_cache_patch_64,astar_search,50,0.18841435869268963,0.21168360527767202
1000,open_random,region_cache_patch_64,neural_inference,50,0.16579189950764175,0.1862672635839446
1000,open_random,region_cache_patch_64,patch_extraction,50,0.5227326695999522,0.5872903576198268
1000,open_random,region_cache_patch_64,cache_lookup,50,0.013136420479714844,0.014758773518556555
1500,bottleneck,full_map_unet_tiebreak,astar_search,50,1.4566441600600093,0.8883095980400276
1500,bottleneck,full_map_unet_tiebreak,neural_inference,50,0.18314917694091798,0.11169040195997236
1500,bottleneck,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
1500,bottleneck,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
1500,bottleneck,manhattan_astar,astar_search,50,0.7485043998000037,1.0
1500,bottleneck,manhattan_astar,neural_inference,50,0.0,0.0
1500,bottleneck,manhattan_astar,patch_extraction,50,0.0,0.0
1500,bottleneck,manhattan_astar,cache_lookup,50,0.0,0.0
1500,bottleneck,region_cache_patch_32,astar_search,50,1.621642550821634,0.32157266756023256
1500,bottleneck,region_cache_patch_32,neural_inference,50,0.9820435323116183,0.19473980760169105
1500,bottleneck,region_cache_patch_32,patch_extraction,50,2.348732647259803,0.4657550595120123
1500,bottleneck,region_cache_patch_32,cache_lookup,50,0.09043072296693935,0.017932465326064087
1500,bottleneck,region_cache_patch_64,astar_search,50,1.1954217514176035,0.31475534646533054
1500,bottleneck,region_cache_patch_64,neural_inference,50,0.48179546887904406,0.12685706910771605
1500,bottleneck,region_cache_patch_64,patch_extraction,50,2.0224452730396387,0.5325111926965289
1500,bottleneck,region_cache_patch_64,cache_lookup,50,0.09827696930371076,0.02587639173042457
1500,large_block,full_map_unet_tiebreak,astar_search,50,0.8247638554800096,0.7977563159755385
1500,large_block,full_map_unet_tiebreak,neural_inference,50,0.2090905170440674,0.20224368402446155
1500,large_block,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
1500,large_block,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
1500,large_block,manhattan_astar,astar_search,50,0.40173060117999737,1.0
1500,large_block,manhattan_astar,neural_inference,50,0.0,0.0
1500,large_block,manhattan_astar,patch_extraction,50,0.0,0.0
1500,large_block,manhattan_astar,cache_lookup,50,0.0,0.0
1500,large_block,region_cache_patch_32,astar_search,50,0.5961900337456071,0.2859072945667812
1500,large_block,region_cache_patch_32,neural_inference,50,0.567384291832149,0.272093290185118
1500,large_block,region_cache_patch_32,patch_extraction,50,0.8979941703399027,0.4306396773619576
1500,large_block,region_cache_patch_32,cache_lookup,50,0.02368796684233985,0.011359737886143265
1500,large_block,region_cache_patch_64,astar_search,50,0.4636953771561022,0.29881676459909295
1500,large_block,region_cache_patch_64,neural_inference,50,0.27951562739551067,0.1801267805287908
1500,large_block,region_cache_patch_64,patch_extraction,50,0.7761967170796288,0.5002003537595973
1500,large_block,region_cache_patch_64,cache_lookup,50,0.0323639059687639,0.020856101112519003
1500,maze_like,full_map_unet_tiebreak,astar_search,50,0.0003406684800211224,0.0048508999086090835
1500,maze_like,full_map_unet_tiebreak,neural_inference,50,0.06988722457885742,0.9951491000913909
1500,maze_like,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
1500,maze_like,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
1500,maze_like,manhattan_astar,astar_search,50,0.00026855099999011144,1.0
1500,maze_like,manhattan_astar,neural_inference,50,0.0,0.0
1500,maze_like,manhattan_astar,patch_extraction,50,0.0,0.0
1500,maze_like,manhattan_astar,cache_lookup,50,0.0,0.0
1500,maze_like,region_cache_patch_32,astar_search,50,0.0015008839248393997,0.22356158702497864
1500,maze_like,region_cache_patch_32,neural_inference,50,0.001464617595076561,0.21815959816816616
1500,maze_like,region_cache_patch_32,patch_extraction,50,0.0037371311000333664,0.5566579439067968
1500,maze_like,region_cache_patch_32,cache_lookup,50,1.0881740063268808e-05,0.0016208709000584296
1500,maze_like,region_cache_patch_64,astar_search,50,0.0011205167188473569,0.10349726427128873
1500,maze_like,region_cache_patch_64,neural_inference,50,0.0009992524814605715,0.09229661316776323
1500,maze_like,region_cache_patch_64,patch_extraction,50,0.008695889660011745,0.8032015721657482
1500,maze_like,region_cache_patch_64,cache_lookup,50,1.0875799671339336e-05,0.0010045503951998955
1500,narrow_corridor,full_map_unet_tiebreak,astar_search,50,0.5049031964399956,0.7537745205536912
1500,narrow_corridor,full_map_unet_tiebreak,neural_inference,50,0.16492999992370605,0.246225479446309
1500,narrow_corridor,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
1500,narrow_corridor,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
1500,narrow_corridor,manhattan_astar,astar_search,50,0.23840704623998135,1.0
1500,narrow_corridor,manhattan_astar,neural_inference,50,0.0,0.0
1500,narrow_corridor,manhattan_astar,patch_extraction,50,0.0,0.0
1500,narrow_corridor,manhattan_astar,cache_lookup,50,0.0,0.0
1500,narrow_corridor,region_cache_patch_32,astar_search,50,0.5958063243242564,0.28502619145193747
1500,narrow_corridor,region_cache_patch_32,neural_inference,50,0.5274522489711638,0.25232646845015944
1500,narrow_corridor,region_cache_patch_32,patch_extraction,50,0.9436753633399758,0.45144232915767696
1500,narrow_corridor,region_cache_patch_32,cache_lookup,50,0.0234224663645864,0.01120501094022606
1500,narrow_corridor,region_cache_patch_64,astar_search,50,0.39197756121037686,0.27804021911803134
1500,narrow_corridor,region_cache_patch_64,neural_inference,50,0.23105565617799756,0.16389398687470136
1500,narrow_corridor,region_cache_patch_64,patch_extraction,50,0.7621487044001151,0.5406125598556886
1500,narrow_corridor,region_cache_patch_64,cache_lookup,50,0.024605347311517107,0.0174532341515787
1500,open_random,full_map_unet_tiebreak,astar_search,50,0.3312464232599973,0.7331469413980012
1500,open_random,full_map_unet_tiebreak,neural_inference,50,0.1205680828857422,0.26685305860199887
1500,open_random,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
1500,open_random,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
1500,open_random,manhattan_astar,astar_search,50,0.19141912813998715,1.0
1500,open_random,manhattan_astar,neural_inference,50,0.0,0.0
1500,open_random,manhattan_astar,patch_extraction,50,0.0,0.0
1500,open_random,manhattan_astar,cache_lookup,50,0.0,0.0
1500,open_random,region_cache_patch_32,astar_search,50,0.44330616288624847,0.2671026385386954
1500,open_random,region_cache_patch_32,neural_inference,50,0.31221076415389765,0.18811450385156664
1500,open_random,region_cache_patch_32,patch_extraction,50,0.8778022530995441,0.5288969961337145
1500,open_random,region_cache_patch_32,cache_lookup,50,0.026365521260315744,0.015885861476023392
1500,open_random,region_cache_patch_64,astar_search,50,0.3087234830802489,0.22958111763372877
1500,open_random,region_cache_patch_64,neural_inference,50,0.16613780673861506,0.12354778772158742
1500,open_random,region_cache_patch_64,patch_extraction,50,0.8412248615602107,0.6255738694424821
1500,open_random,region_cache_patch_64,cache_lookup,50,0.028638912520923442,0.021297225202201783
2000,bottleneck,full_map_unet_tiebreak,astar_search,50,1.9402918941199823,0.8753912429856296
2000,bottleneck,full_map_unet_tiebreak,neural_inference,50,0.2761934884643555,0.12460875701437038
2000,bottleneck,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
2000,bottleneck,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
2000,bottleneck,manhattan_astar,astar_search,50,1.0575745915200059,1.0
2000,bottleneck,manhattan_astar,neural_inference,50,0.0,0.0
2000,bottleneck,manhattan_astar,patch_extraction,50,0.0,0.0
2000,bottleneck,manhattan_astar,cache_lookup,50,0.0,0.0
2000,bottleneck,region_cache_patch_32,astar_search,50,2.3739270203981753,0.3137761663498448
2000,bottleneck,region_cache_patch_32,neural_inference,50,1.7760324473071094,0.23474885615291
2000,bottleneck,region_cache_patch_32,patch_extraction,50,3.2978395406794423,0.4358952231554977
2000,bottleneck,region_cache_patch_32,cache_lookup,50,0.11787128459528504,0.015579754341747448
2000,bottleneck,region_cache_patch_64,astar_search,50,1.6949256869204223,0.31976974711511946
2000,bottleneck,region_cache_patch_64,neural_inference,50,0.8410751539543267,0.15867975295922965
2000,bottleneck,region_cache_patch_64,patch_extraction,50,2.638114199540678,0.4977145115905812
2000,bottleneck,region_cache_patch_64,cache_lookup,50,0.12634162320458928,0.02383598833506972
2000,large_block,full_map_unet_tiebreak,astar_search,50,1.1772192735199951,0.8285004153004835
2000,large_block,full_map_unet_tiebreak,neural_inference,50,0.2436843878173828,0.17149958469951654
2000,large_block,full_map_unet_tiebreak,patch_extraction,50,0.0,0.0
2000,large_block,full_map_unet_tiebreak,cache_lookup,50,0.0,0.0
2000,large_block,manhattan_astar,astar_search,50,0.6508767400399939,1.0
2000,large_block,manhattan_astar,neural_inference,50,0.0,0.0
2000,large_block,manhattan_astar,patch_extraction,50,0.0,0.0
2000,large_block,manhattan_astar,cache_lookup,50,0.0,0.0
2000,large_block,region_cache_patch_32,astar_search,50,0.7765907237119233,0.27326666520757875
2000,large_block,region_cache_patch_32,neural_inference,50,0.8136513188159473,0.2863075436593303
2000,large_block,region_cache_patch_32,patch_extraction,50,1.2219075447793148,0.4299647031036214
2000,large_block,region_cache_patch_32,cache_lookup,50,0.029729143572812974,0.010461088029469589
2000,large_block,region_cache_patch_64,astar_search,50,0.5116321472061238,0.285821458962454
2000,large_block,region_cache_patch_64,neural_inference,50,0.3266290737849474,0.1824701573553728
2000,large_block,region_cache_patch_64,patch_extraction,50,0.9174196076605131,0.5125131643392392
