map_mode,structured_type,obstacle_rate,heuristic,runs,solvable_runs,path_found_rate,optimality_rate,mean_expanded_nodes,mean_runtime_seconds,mean_path_length,mean_overestimate_rate
structured,maze_like,0.4,mlp_table,3,3,1.0,1.0,53.666666666666664,0.0002727363316807896,16.666666666666668,0.3012316542146047
structured,maze_like,0.4,unet,3,3,1.0,1.0,58.333333333333336,0.0002976393334392924,16.666666666666668,0.3585203724250358
structured,narrow_corridor,0.1,dijkstra,3,3,1.0,1.0,142.33333333333334,0.0003444439983771493,19.666666666666668,0.0
structured,narrow_corridor,0.1,manhattan,3,3,1.0,1.0,64.33333333333333,0.0001559033347196722,19.666666666666668,0.0
structured,narrow_corridor,0.1,mlp_table,3,3,1.0,1.0,51.666666666666664,0.00031420833208054927,19.666666666666668,0.7824096210968631
structured,narrow_corridor,0.1,unet,3,3,1.0,1.0,61.333333333333336,0.000338069334247848,19.666666666666668,0.7979642106788379
structured,narrow_corridor,0.2,dijkstra,3,3,1.0,1.0,74.66666666666667,0.0001591253336907054,10.0,0.0
structured,narrow_corridor,0.2,manhattan,3,3,1.0,1.0,19.666666666666668,5.4888666151479505e-05,10.0,0.0
structured,narrow_corridor,0.2,mlp_table,3,3,1.0,1.0,14.666666666666666,9.848633271758445e-05,10.0,0.8346278317152104
structured,narrow_corridor,0.2,unet,3,3,1.0,0.6666666666666666,27.333333333333332,0.0001570556681447973,11.333333333333334,0.836230168126924
structured,narrow_corridor,0.3,dijkstra,3,3,1.0,1.0,90.33333333333333,0.00019956899996032007,13.333333333333334,0.0
structured,narrow_corridor,0.3,manhattan,3,3,1.0,1.0,31.0,8.345833339262754e-05,13.333333333333334,0.0
structured,narrow_corridor,0.3,mlp_table,3,3,1.0,1.0,20.0,0.00014105533288481334,13.333333333333334,0.7666165703791474
structured,narrow_corridor,0.3,unet,3,3,1.0,1.0,37.666666666666664,0.00022604199936419414,13.333333333333334,0.8130074380953017
structured,narrow_corridor,0.4,dijkstra,3,3,1.0,1.0,124.66666666666667,0.0002519303343433421,18.0,0.0
structured,narrow_corridor,0.4,manhattan,3,3,1.0,1.0,46.666666666666664,0.00011363866724423133,18.0,0.0
structured,narrow_corridor,0.4,mlp_table,3,3,1.0,1.0,38.666666666666664,0.0002215416667847118,18.0,0.7116095115712527
structured,narrow_corridor,0.4,unet,3,3,1.0,0.6666666666666666,60.666666666666664,0.00032787499973589246,18.666666666666668,0.6834461288542895
