obstacle_rate,heuristic,runs,solvable_runs,path_found_rate,optimality_rate,mean_expanded_nodes,mean_runtime_seconds,mean_path_length,mean_overestimate_rate
0.1,dijkstra,100,100,1.0,1.0,190.46,0.00041254168005252725,13.72,0.0
0.1,manhattan,100,100,1.0,1.0,48.19,0.00012588877018060885,13.72,0.0
0.1,mlp_table,100,100,1.0,1.0,19.7,0.00014495668998279143,13.72,0.9309466159653926
0.1,unet,100,100,1.0,1.0,36.26,0.00023279793007532134,13.72,0.44937387154360237
0.2,dijkstra,100,100,1.0,1.0,154.42,0.0003226995599652582,14.23,0.0
0.2,manhattan,100,100,1.0,1.0,43.53,0.00010712000004787115,14.23,0.0
0.2,mlp_table,100,100,1.0,1.0,24.44,0.00015372999996543513,14.23,0.7311505341782738
0.2,unet,100,100,1.0,0.99,30.53,0.00018680496994420538,14.27,0.6246314648358731
0.3,dijkstra,100,100,1.0,1.0,132.49,0.00026579635001326094,16.97,0.0
0.3,manhattan,100,100,1.0,1.0,51.56,0.00012101874002837576,16.97,0.0
0.3,mlp_table,100,100,1.0,1.0,39.11,0.00020879379015241285,16.97,0.4249158965040023
0.3,unet,100,100,1.0,0.96,40.16,0.00021468043987624697,17.07,0.5940006104339962
0.4,dijkstra,100,100,1.0,1.0,72.96,0.00014369164004165213,14.7,0.0
0.4,manhattan,100,100,1.0,1.0,36.7,8.196506996682729e-05,14.7,0.0
0.4,mlp_table,100,100,1.0,1.0,31.67,0.0001606217301923607,14.7,0.40014811317181453
0.4,unet,100,100,1.0,0.98,33.99,0.00016735755003537633,14.74,0.7380658293408218
