map_mode,structured_type,obstacle_rate,heuristic,runs,solvable_runs,path_found_rate,optimality_rate,mean_expanded_nodes,mean_runtime_seconds,mean_path_length,mean_overestimate_rate
structured,narrow_corridor,0.1,mlp_table,100,100,1.0,1.0,24.1,0.00015274880006472814,12.91,0.7666708025624622
structured,narrow_corridor,0.1,unet,100,100,1.0,0.89,29.54,0.00019100541005173,13.13,0.7618717360379414
structured,narrow_corridor,0.2,dijkstra,100,100,1.0,1.0,96.17,0.00020056334000400966,14.29,0.0
structured,narrow_corridor,0.2,manhattan,100,100,1.0,1.0,41.02,9.996671011322178e-05,14.29,0.0
structured,narrow_corridor,0.2,mlp_table,100,100,1.0,1.0,25.8,0.00015702334017987597,14.29,0.7476890054667803
structured,narrow_corridor,0.2,unet,100,100,1.0,0.94,39.44,0.0002254712701687822,14.43,0.7547856405516743
structured,narrow_corridor,0.3,dijkstra,100,100,1.0,1.0,101.21,0.00021314832989446586,14.98,0.0
structured,narrow_corridor,0.3,manhattan,100,100,1.0,1.0,40.53,9.920662003423786e-05,14.98,0.0
structured,narrow_corridor,0.3,mlp_table,100,100,1.0,1.0,27.31,0.0001639075000275625,14.98,0.7784847908646904
structured,narrow_corridor,0.3,unet,100,100,1.0,0.93,44.05,0.00024313836001965683,15.12,0.7804882373969364
structured,narrow_corridor,0.4,dijkstra,100,100,1.0,1.0,105.23,0.00021969291017740034,15.03,0.0
structured,narrow_corridor,0.4,manhattan,100,100,1.0,1.0,41.17,0.00010215957987384172,15.03,0.0
structured,narrow_corridor,0.4,mlp_table,100,100,1.0,1.0,25.74,0.0001589062602215563,15.03,0.7551733264815588
structured,narrow_corridor,0.4,unet,100,100,1.0,0.92,42.62,0.00024237953035481042,15.21,0.7591944596265101
