seed,map_size,obstacle_rate,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
0,20,0.1,dijkstra,True,True,38,38,360,0.0007814589989720844,19.225,438.4138888888889,20.938335389636133,0.9972222222222222,0.0,0.9722222222222222,0.0,0.0
0,20,0.1,manhattan,True,True,38,38,326,0.0007505829998990521,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.0,0.0,0.0,0.0
0,20,0.1,mlp_table,True,True,38,38,137,0.0012438329995347885,1.0903862612115012,2.3206509386695,1.52336828727314,0.03611111111111111,0.9611111111111111,0.0,0.075,5.396686553955078
0,20,0.1,unet,True,True,38,38,242,0.0012931660003232537,1.594899411002795,5.4808210647537905,2.3411153463154672,0.5416666666666666,0.4583333333333333,0.011111111111111112,0.1527777777777778,9.759834289550781
1,20,0.1,dijkstra,True,True,38,38,355,0.0007247499997902196,19.304225352112677,438.4366197183099,20.93887818672027,0.9971830985915493,0.0,0.9746478873239437,0.0,0.0
1,20,0.1,manhattan,True,True,38,38,307,0.0007168749998527346,0.48450704225352115,1.9830985915492958,1.408225334081622,0.14929577464788732,0.0,0.061971830985915494,0.0,0.0
1,20,0.1,mlp_table,True,True,38,38,137,0.0006755409995093942,0.9208239760197384,1.5775324271210516,1.2559985776747724,0.12394366197183099,0.8732394366197183,0.008450704225352112,0.028169014084507043,3.5638694763183594
1,20,0.1,unet,True,True,38,38,191,0.0010664999990694923,1.7735564507229227,7.072201091100791,2.659361030605057,0.28169014084507044,0.7183098591549296,0.008450704225352112,0.19154929577464788,9.798995971679688
2,20,0.1,dijkstra,False,False,-1,-1,0,0.0,,,,,,,,
2,20,0.1,manhattan,False,False,-1,-1,0,0.0,,,,,,,,
2,20,0.1,mlp_table,False,False,-1,-1,0,0.0,,,,,,,,
2,20,0.1,unet,False,False,-1,-1,0,0.0,,,,,,,,
3,20,0.1,dijkstra,True,True,38,38,360,0.0007451250003214227,18.91111111111111,424.3388888888889,20.599487588017546,0.9972222222222222,0.0,0.9722222222222222,0.0,0.0
3,20,0.1,manhattan,True,True,38,38,329,0.0007615409995196387,0.08333333333333333,0.16666666666666666,0.408248290463863,0.041666666666666664,0.0,0.0,0.0,0.0
3,20,0.1,mlp_table,True,True,38,38,132,0.0007064590008667437,1.0893670880132251,2.3019579691556435,1.5172204748010896,0.03611111111111111,0.9611111111111111,0.0,0.07222222222222222,5.396686553955078
3,20,0.1,unet,True,True,38,38,238,0.001292083999942406,1.6079920725689993,5.607878926304242,2.368096055126194,0.5388888888888889,0.46111111111111114,0.013888888888888888,0.14166666666666666,9.992021560668945
4,20,0.1,dijkstra,True,True,38,38,356,0.0007729169992671814,19.04494382022472,427.7808988764045,20.68286486143553,0.9971910112359551,0.0,0.9747191011235955,0.0,0.0
4,20,0.1,manhattan,True,True,38,38,239,0.0005520830000023125,0.11797752808988764,0.23595505617977527,0.4857520521621862,0.05898876404494382,0.0,0.0,0.0,0.0
4,20,0.1,mlp_table,True,True,38,38,123,0.00065941700086114,1.0859441023864103,2.094093265216947,1.4470982223805497,0.03932584269662921,0.9578651685393258,0.0,0.05898876404494382,4.437534332275391
4,20,0.1,unet,True,True,38,38,171,0.0009104159998969408,2.500233940863877,12.742549518469454,3.569670785726529,0.1601123595505618,0.8398876404494382,0.0056179775280898875,0.31741573033707865,11.353012084960938
