seed,map_size,obstacle_rate,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
0,20,0.1,fixed,0,0,19,19,dijkstra,True,True,38,38,360,0.0007738750009593787,,19.225,438.4138888888889,20.938335389636133,0.9972222222222222,0.0,0.9722222222222222,0.0,0.0
0,20,0.1,fixed,0,0,19,19,manhattan,True,True,38,38,326,0.0007509579991165083,,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.027777777777777776,0.0,0.0,0.0,0.0
0,20,0.1,fixed,0,0,19,19,mlp_table,True,True,38,38,137,0.0007722919999650912,,1.0903862612115012,2.3206509386695,1.52336828727314,0.03611111111111111,0.9611111111111111,0.0,0.075,5.396686553955078
0,20,0.1,fixed,0,0,19,19,unet,True,True,38,38,242,0.0014530839998769807,,1.594899411002795,5.4808210647537905,2.3411153463154672,0.5416666666666666,0.4583333333333333,0.011111111111111112,0.1527777777777778,9.759834289550781
1,20,0.1,fixed,0,0,19,19,dijkstra,True,True,38,38,355,0.0007355829984589946,,19.304225352112677,438.4366197183099,20.93887818672027,0.9971830985915493,0.0,0.9746478873239437,0.0,0.0
1,20,0.1,fixed,0,0,19,19,manhattan,True,True,38,38,307,0.0007221670002763858,,0.48450704225352115,1.9830985915492958,1.408225334081622,0.14929577464788732,0.0,0.061971830985915494,0.0,0.0
1,20,0.1,fixed,0,0,19,19,mlp_table,True,True,38,38,137,0.000740250001399545,,0.9208239760197384,1.5775324271210516,1.2559985776747724,0.12394366197183099,0.8732394366197183,0.008450704225352112,0.028169014084507043,3.5638694763183594
1,20,0.1,fixed,0,0,19,19,unet,True,True,38,38,191,0.0011533750002854504,,1.7735564507229227,7.072201091100791,2.659361030605057,0.28169014084507044,0.7183098591549296,0.008450704225352112,0.19154929577464788,9.798995971679688
2,20,0.1,fixed,0,0,19,19,dijkstra,False,False,-1,-1,0,0.0,unsolvable_fixed_start_goal,,,,,,,,
2,20,0.1,fixed,0,0,19,19,manhattan,False,False,-1,-1,0,0.0,unsolvable_fixed_start_goal,,,,,,,,
2,20,0.1,fixed,0,0,19,19,mlp_table,False,False,-1,-1,0,0.0,unsolvable_fixed_start_goal,,,,,,,,
2,20,0.1,fixed,0,0,19,19,unet,False,False,-1,-1,0,0.0,unsolvable_fixed_start_goal,,,,,,,,
0,20,0.2,fixed,0,0,19,19,dijkstra,True,True,38,38,327,0.000664791001327103,,19.33639143730887,444.0091743119266,21.071525201368946,0.9969418960244648,0.0,0.9755351681957186,0.0,0.0
0,20,0.2,fixed,0,0,19,19,manhattan,True,True,38,38,271,0.0006369589991663815,,0.15902140672782875,0.39143730886850153,0.6256495096046201,0.07033639143730887,0.0,0.009174311926605505,0.0,0.0
0,20,0.2,fixed,0,0,19,19,mlp_table,True,True,38,38,131,0.0007504170007450739,,1.1642624037710534,2.5333092749167934,1.5916372937691532,0.07951070336391437,0.9174311926605505,0.009174311926605505,0.0764525993883792,5.396686553955078
