seed,map_size,obstacle_rate,map_mode,structured_type,start_goal_mode,start_row,start_col,goal_row,goal_col,heuristic,path_found,optimal,optimal_cost,path_length,expanded_nodes,runtime_seconds,skip_reason,mae,mse,rmse,underestimate_rate,overestimate_rate,large_underestimate_rate,large_overestimate_rate,max_overestimate
0,20,0.1,structured,narrow_corridor,random,6,18,7,2,dijkstra,True,True,25,25,173,0.00037616600093315355,,14.654205607476635,283.02803738317755,16.823437145339163,0.9953271028037384,0.0,0.9018691588785047,0.0,0.0
0,20,0.1,structured,narrow_corridor,random,6,18,7,2,manhattan,True,True,25,25,89,0.00021466700127348304,,1.9345794392523366,14.22429906542056,3.7715115093846077,0.2897196261682243,0.0,0.2570093457943925,0.0,0.0
0,20,0.1,structured,narrow_corridor,random,6,18,7,2,mlp_table,True,True,25,25,67,0.00039450000258511864,,1.9580617207233038,8.3854923899605,2.8957714671500754,0.2897196261682243,0.705607476635514,0.205607476635514,0.009345794392523364,3.200124740600586
0,20,0.1,structured,narrow_corridor,random,6,18,7,2,unet,True,True,25,25,86,0.00044595800136448815,,2.2443508703574957,8.668696583639317,2.944265032845942,0.308411214953271,0.6869158878504673,0.14018691588785046,0.14485981308411214,10.063549041748047
1,20,0.1,structured,narrow_corridor,random,15,15,15,3,dijkstra,True,True,26,26,195,0.00042283400034648366,,16.25581395348837,342.74883720930234,18.513477177702256,0.9953488372093023,0.0,0.8930232558139535,0.0,0.0
1,20,0.1,structured,narrow_corridor,random,15,15,15,3,manhattan,True,True,26,26,94,0.00022075000015320256,,2.781395348837209,32.2046511627907,5.674914198716197,0.2930232558139535,0.0,0.26046511627906976,0.0,0.0
1,20,0.1,structured,narrow_corridor,random,15,15,15,3,mlp_table,True,True,26,26,79,0.00041324999983771704,,2.8963456785956097,21.953592346788803,4.685466075727025,0.3023255813953488,0.6930232558139535,0.25116279069767444,0.03255813953488372,3.7599239349365234
1,20,0.1,structured,narrow_corridor,random,15,15,15,3,unet,True,True,26,26,82,0.0004433330032043159,,3.118434308850488,17.377484562278305,4.168631017765701,0.2930232558139535,0.7069767441860465,0.20465116279069767,0.16279069767441862,8.166664123535156
2,20,0.1,structured,narrow_corridor,random,4,4,5,11,dijkstra,True,True,8,8,59,0.00012729100126307458,,11.037383177570094,148.58878504672896,12.18969995720686,0.9953271028037384,0.0,0.9299065420560748,0.0,0.0
2,20,0.1,structured,narrow_corridor,random,4,4,5,11,manhattan,True,True,8,8,10,3.204200038453564e-05,,0.07476635514018691,0.14953271028037382,0.3866945956182654,0.037383177570093455,0.0,0.0,0.0,0.0
2,20,0.1,structured,narrow_corridor,random,4,4,5,11,mlp_table,True,True,8,8,9,7.791600000928156e-05,,0.8509986567720075,1.0468709780023566,1.0231671310212993,0.04672897196261682,0.9485981308411215,0.0,0.004672897196261682,3.2236061096191406
2,20,0.1,structured,narrow_corridor,random,4,4,5,11,unet,True,True,8,8,16,0.00011058300151489675,,4.091205160751521,24.005714787164717,4.899562713871996,0.0,1.0,0.0,0.6261682242990654,13.76069450378418
3,20,0.1,structured,narrow_corridor,random,9,4,18,3,dijkstra,True,True,10,10,106,0.00022454099962487817,,18.404651162790696,416.5348837209302,20.40918625817625,0.9953488372093023,0.0,0.9348837209302325,0.0,0.0
3,20,0.1,structured,narrow_corridor,random,9,4,18,3,manhattan,True,True,10,10,20,5.604200123343617e-05,,2.5395348837209304,31.906976744186046,5.648626093501503,0.26046511627906976,0.0,0.22790697674418606,0.0,0.0
3,20,0.1,structured,narrow_corridor,random,9,4,18,3,mlp_table,True,True,10,10,11,0.00010362499961047433,,2.9834561763807783,24.051468269452332,4.904229630579336,0.26976744186046514,0.7255813953488373,0.22790697674418606,0.07441860465116279,4.320276260375977
3,20,0.1,structured,narrow_corridor,random,9,4,18,3,unet,True,True,10,10,12,0.00010391699834144674,,3.222640240746875,18.37277263743286,4.286347237151099,0.27906976744186046,0.7162790697674418,0.17674418604651163,0.2186046511627907,9.140890121459961
4,20,0.1,structured,narrow_corridor,random,11,16,8,12,dijkstra,True,True,7,7,68,0.000149125000461936,,10.013953488372094,120.6093023255814,10.982226656083064,0.9953488372093023,0.0,0.9209302325581395,0.0,0.0
4,20,0.1,structured,narrow_corridor,random,11,16,8,12,manhattan,True,True,7,7,18,4.7999998059822246e-05,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,20,0.1,structured,narrow_corridor,random,11,16,8,12,mlp_table,True,True,7,7,8,6.666599801974371e-05,,0.8660163640975952,1.1110298595930779,1.054054011705794,0.004651162790697674,0.9906976744186047,0.0,0.009302325581395349,3.482907295227051
4,20,0.1,structured,narrow_corridor,random,11,16,8,12,unet,True,True,7,7,15,0.00010074999954667874,,3.1710557039393934,17.47958606948463,4.180859489325685,0.13953488372093023,0.8604651162790697,0.0,0.4930232558139535,10.785808563232422
5,20,0.1,structured,narrow_corridor,random,11,16,2,16,dijkstra,True,True,9,9,87,0.00019545800023479387,,18.869767441860464,481.31627906976746,21.93892155667109,0.9953488372093023,0.0,0.9069767441860465,0.0,0.0
5,20,0.1,structured,narrow_corridor,random,11,16,2,16,manhattan,True,True,9,9,10,3.4041997423628345e-05,,4.1395348837209305,71.7953488372093,8.473213607434271,0.31627906976744186,0.0,0.2837209302325581,0.0,0.0
5,20,0.1,structured,narrow_corridor,random,11,16,2,16,mlp_table,True,True,9,9,10,0.00010229200051981024,,4.526855305738227,58.04832626656509,7.61894522007903,0.32558139534883723,0.6697674418604651,0.2837209302325581,0.06046511627906977,4.133249282836914
5,20,0.1,structured,narrow_corridor,random,11,16,2,16,unet,True,True,9,9,10,9.54590032051783e-05,,4.501004805121311,50.71979222719706,7.1217829387869624,0.386046511627907,0.6139534883720931,0.25116279069767444,0.13488372093023257,7.9779815673828125
6,20,0.1,structured,narrow_corridor,random,15,12,14,2,dijkstra,True,True,11,11,107,0.00022816699856775813,,13.285046728971963,227.8644859813084,15.095180886008237,0.9953271028037384,0.0,0.9112149532710281,0.0,0.0
6,20,0.1,structured,narrow_corridor,random,15,12,14,2,manhattan,True,True,11,11,22,5.4957999964244664e-05,,0.09345794392523364,0.18691588785046728,0.4323377011671169,0.04672897196261682,0.0,0.0,0.0,0.0
6,20,0.1,structured,narrow_corridor,random,15,12,14,2,mlp_table,True,True,11,11,12,9.88749998214189e-05,,1.2976313873986218,2.687507715585117,1.6393619843052105,0.02336448598130841,0.9719626168224299,0.0,0.07009345794392523,4.667055130004883
6,20,0.1,structured,narrow_corridor,random,15,12,14,2,unet,True,True,11,11,13,9.87919993349351e-05,,2.7248855826453626,11.125813179282346,3.335537914532279,0.0794392523364486,0.9158878504672897,0.0,0.3644859813084112,8.827581405639648
7,20,0.1,structured,narrow_corridor,random,5,18,11,3,dijkstra,True,True,21,21,139,0.00028333299997029826,,11.525581395348837,173.13488372093022,13.158072948609542,0.9953488372093023,0.0,0.8883720930232558,0.0,0.0
7,20,0.1,structured,narrow_corridor,random,5,18,11,3,manhattan,True,True,21,21,62,0.00015012500080047175,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,20,0.1,structured,narrow_corridor,random,5,18,11,3,mlp_table,True,True,21,21,40,0.00024391699844272807,,1.2683839565099673,2.4077207675826493,1.5516832046466988,0.009302325581395349,0.986046511627907,0.0,0.06046511627906977,4.423847198486328
7,20,0.1,structured,narrow_corridor,random,5,18,11,3,unet,True,True,21,21,57,0.00035120800021104515,,2.547512509102045,10.080298780570413,3.1749486264458535,0.06046511627906977,0.9395348837209302,0.0,0.2930232558139535,9.226861953735352
8,20,0.1,structured,narrow_corridor,random,18,18,15,5,dijkstra,True,True,30,30,187,0.0003934169981221203,,16.153488372093022,324.12558139534883,18.003488034137963,0.9953488372093023,0.0,0.9302325581395349,0.0,0.0
