heuristic,obstacle_rate,metric,target,n,pearson,mean_metric,mean_target
manhattan,0.3,mse,optimal,100,,55.41311719431613,1.0
manhattan,0.3,overestimate_rate,expanded_nodes,100,,0.0,51.56
manhattan,0.3,overestimate_rate,runtime_seconds,100,,0.0,0.00012101874002837576
manhattan,0.3,overestimate_rate,optimal,100,,0.0,1.0
manhattan,0.4,mae,expanded_nodes,100,0.7435864084917743,4.3781759759420025,36.7
manhattan,0.4,mae,runtime_seconds,100,0.7298608326096377,4.3781759759420025,8.196506996682729e-05
manhattan,0.4,mae,optimal,100,,4.3781759759420025,1.0
manhattan,0.4,mse,expanded_nodes,100,0.700211217586954,59.46846690084544,36.7
manhattan,0.4,mse,runtime_seconds,100,0.6842120890556507,59.46846690084544,8.196506996682729e-05
manhattan,0.4,mse,optimal,100,,59.46846690084544,1.0
manhattan,0.4,overestimate_rate,expanded_nodes,100,,0.0,36.7
manhattan,0.4,overestimate_rate,runtime_seconds,100,,0.0,8.196506996682729e-05
manhattan,0.4,overestimate_rate,optimal,100,,0.0,1.0
manhattan,all,mae,expanded_nodes,400,0.3171725645776947,2.4495759502720067,44.995
manhattan,all,mae,runtime_seconds,400,0.2425082090873931,2.4495759502720067,0.00010899814505592075
manhattan,all,mae,optimal,400,,2.4495759502720067,1.0
manhattan,all,mse,expanded_nodes,400,0.33661458064736577,30.403952763283797,44.995
manhattan,all,mse,runtime_seconds,400,0.27362707407259,30.403952763283797,0.00010899814505592075
manhattan,all,mse,optimal,400,,30.403952763283797,1.0
manhattan,all,overestimate_rate,expanded_nodes,400,,0.0,44.995
manhattan,all,overestimate_rate,runtime_seconds,400,,0.0,0.00010899814505592075
manhattan,all,overestimate_rate,optimal,400,,0.0,1.0
mlp_table,0.1,mae,expanded_nodes,100,0.02268318255266081,0.9703946502945352,19.7
mlp_table,0.1,mae,runtime_seconds,100,0.061811164814712334,0.9703946502945352,0.00014495668998279143
mlp_table,0.1,mae,optimal,100,,0.9703946502945352,1.0
mlp_table,0.1,mse,expanded_nodes,100,-0.007783022552845295,1.5292463378991374,19.7
mlp_table,0.1,mse,runtime_seconds,100,0.031329754907525625,1.5292463378991374,0.00014495668998279143
mlp_table,0.1,mse,optimal,100,,1.5292463378991374,1.0
mlp_table,0.1,overestimate_rate,expanded_nodes,100,-0.14758358019341244,0.9309466159653926,19.7
mlp_table,0.1,overestimate_rate,runtime_seconds,100,-0.10557313314961993,0.9309466159653926,0.00014495668998279143
mlp_table,0.1,overestimate_rate,optimal,100,,0.9309466159653926,1.0
mlp_table,0.2,mae,expanded_nodes,100,0.4220473184708441,1.1757619966770658,24.44
mlp_table,0.2,mae,runtime_seconds,100,0.37721882222617104,1.1757619966770658,0.00015372999996543513
mlp_table,0.2,mae,optimal,100,,1.1757619966770658,1.0
mlp_table,0.2,mse,expanded_nodes,100,0.4012819227097402,4.051501144219177,24.44
mlp_table,0.2,mse,runtime_seconds,100,0.3677775952896982,4.051501144219177,0.00015372999996543513
mlp_table,0.2,mse,optimal,100,,4.051501144219177,1.0
mlp_table,0.2,overestimate_rate,expanded_nodes,100,-0.370536571183996,0.7311505341782738,24.44
mlp_table,0.2,overestimate_rate,runtime_seconds,100,-0.34681535527860635,0.7311505341782738,0.00015372999996543513
mlp_table,0.2,overestimate_rate,optimal,100,,0.7311505341782738,1.0
mlp_table,0.3,mae,expanded_nodes,100,0.5049440814683163,3.548601597181787,39.11
mlp_table,0.3,mae,runtime_seconds,100,0.4682845691979097,3.548601597181787,0.00020879379015241285
mlp_table,0.3,mae,optimal,100,,3.548601597181787,1.0
mlp_table,0.3,mse,expanded_nodes,100,0.47678511068633295,45.67319852033293,39.11
mlp_table,0.3,mse,runtime_seconds,100,0.4484949619485811,45.67319852033293,0.00020879379015241285
mlp_table,0.3,mse,optimal,100,,45.67319852033293,1.0
mlp_table,0.3,overestimate_rate,expanded_nodes,100,-0.39630955616873154,0.4249158965040023,39.11
mlp_table,0.3,overestimate_rate,runtime_seconds,100,-0.3594444852304864,0.4249158965040023,0.00020879379015241285
mlp_table,0.3,overestimate_rate,optimal,100,,0.4249158965040023,1.0
mlp_table,0.4,mae,expanded_nodes,100,0.7370174873984362,3.9432831713231082,31.67
mlp_table,0.4,mae,runtime_seconds,100,0.718813043400248,3.9432831713231082,0.0001606217301923607
mlp_table,0.4,mae,optimal,100,,3.9432831713231082,1.0
mlp_table,0.4,mse,expanded_nodes,100,0.6926753627438204,49.897525190615276,31.67
mlp_table,0.4,mse,runtime_seconds,100,0.6703131944806809,49.897525190615276,0.0001606217301923607
mlp_table,0.4,mse,optimal,100,,49.897525190615276,1.0
mlp_table,0.4,overestimate_rate,expanded_nodes,100,-0.5784502160342215,0.40014811317181453,31.67
mlp_table,0.4,overestimate_rate,runtime_seconds,100,-0.5653138698920017,0.40014811317181453,0.0001606217301923607
mlp_table,0.4,overestimate_rate,optimal,100,,0.40014811317181453,1.0
mlp_table,all,mae,expanded_nodes,400,0.5724901731660228,2.4095103538691243,28.73
mlp_table,all,mae,runtime_seconds,400,0.489026389846719,2.4095103538691243,0.00016702555257325002
mlp_table,all,mae,optimal,400,,2.4095103538691243,1.0
mlp_table,all,mse,expanded_nodes,400,0.5383200470423343,25.28786779826663,28.73
mlp_table,all,mse,runtime_seconds,400,0.4701225225139726,25.28786779826663,0.00016702555257325002
mlp_table,all,mse,optimal,400,,25.28786779826663,1.0
mlp_table,all,overestimate_rate,expanded_nodes,400,-0.4345825635682413,0.6217902899548708,28.73
mlp_table,all,overestimate_rate,runtime_seconds,400,-0.335535461844838,0.6217902899548708,0.00016702555257325002
mlp_table,all,overestimate_rate,optimal,400,,0.6217902899548708,1.0
unet,0.1,mae,expanded_nodes,100,0.21938447346131879,0.7519887228172212,36.26
unet,0.1,mae,runtime_seconds,100,0.20774122608536685,0.7519887228172212,0.00023279793007532134
unet,0.1,mae,optimal,100,,0.7519887228172212,1.0
unet,0.1,mse,expanded_nodes,100,0.21978484615298594,1.0315002895036054,36.26
unet,0.1,mse,runtime_seconds,100,0.21213730866574695,1.0315002895036054,0.00023279793007532134
unet,0.1,mse,optimal,100,,1.0315002895036054,1.0
unet,0.1,overestimate_rate,expanded_nodes,100,-0.16252145199258777,0.44937387154360237,36.26
unet,0.1,overestimate_rate,runtime_seconds,100,-0.16183238228358754,0.44937387154360237,0.00023279793007532134
unet,0.1,overestimate_rate,optimal,100,,0.44937387154360237,1.0
unet,0.2,mae,expanded_nodes,100,0.21411717330196847,1.2387462292412097,30.53
unet,0.2,mae,runtime_seconds,100,0.2113330720378136,1.2387462292412097,0.00018680496994420538
unet,0.2,mae,optimal,100,-0.039356126923791895,1.2387462292412097,0.99
unet,0.2,mse,expanded_nodes,100,0.2308375625654782,4.317901466352679,30.53
unet,0.2,mse,runtime_seconds,100,0.23166050710531103,4.317901466352679,0.00018680496994420538
unet,0.2,mse,optimal,100,0.00651703356546383,4.317901466352679,0.99
unet,0.2,overestimate_rate,expanded_nodes,100,-0.2552365402650442,0.6246314648358731,30.53
unet,0.2,overestimate_rate,runtime_seconds,100,-0.27342287160220863,0.6246314648358731,0.00018680496994420538
unet,0.2,overestimate_rate,optimal,100,-0.15560856237482024,0.6246314648358731,0.99
unet,0.3,mae,expanded_nodes,100,0.5769716859587878,3.337985046385778,40.16
unet,0.3,mae,runtime_seconds,100,0.5450396355725384,3.337985046385778,0.00021468043987624697
unet,0.3,mae,optimal,100,-0.1227511167804343,3.337985046385778,0.96
unet,0.3,mse,expanded_nodes,100,0.521662073631034,34.26564410238204,40.16
unet,0.3,mse,runtime_seconds,100,0.501998591862483,34.26564410238204,0.00021468043987624697
unet,0.3,mse,optimal,100,-0.02970942543140198,34.26564410238204,0.96
unet,0.3,overestimate_rate,expanded_nodes,100,-0.2869452072542794,0.5940006104339962,40.16
unet,0.3,overestimate_rate,runtime_seconds,100,-0.2690385891309159,0.5940006104339962,0.00021468043987624697
unet,0.3,overestimate_rate,optimal,100,-0.13932195738791606,0.5940006104339962,0.96
unet,0.4,mae,expanded_nodes,100,0.3572559532322439,5.050137010655546,33.99
unet,0.4,mae,runtime_seconds,100,0.33019974647601125,5.050137010655546,0.00016735755003537633
unet,0.4,mae,optimal,100,0.11656581455124412,5.050137010655546,0.98
unet,0.4,mse,expanded_nodes,100,0.4162430278979593,49.82600107904814,33.99
unet,0.4,mse,runtime_seconds,100,0.38764383284080195,49.82600107904814,0.00016735755003537633
unet,0.4,mse,optimal,100,0.09300626365357505,49.82600107904814,0.98
unet,0.4,overestimate_rate,expanded_nodes,100,-0.5685562052840981,0.7380658293408218,33.99
unet,0.4,overestimate_rate,runtime_seconds,100,-0.57693691316497,0.7380658293408218,0.00016735755003537633
unet,0.4,overestimate_rate,optimal,100,-0.012916619958884842,0.7380658293408218,0.98
unet,all,mae,expanded_nodes,400,0.3006670678847769,2.594714252274939,35.235
unet,all,mae,runtime_seconds,400,0.1866938321922372,2.594714252274939,0.0002004102224827875
unet,all,mae,optimal,400,-0.05694532976492943,2.594714252274939,0.9825
unet,all,mse,expanded_nodes,400,0.35798888398796924,22.360261734321615,35.235
unet,all,mse,runtime_seconds,400,0.2653191126677148,22.360261734321615,0.0002004102224827875
unet,all,mse,optimal,400,-0.016457058765134456,22.360261734321615,0.9825
unet,all,overestimate_rate,expanded_nodes,400,-0.3206414932651301,0.6015179440385734,35.235
unet,all,overestimate_rate,runtime_seconds,400,-0.35410467115569255,0.6015179440385734,0.0002004102224827875
unet,all,overestimate_rate,optimal,400,-0.10051814200614884,0.6015179440385734,0.9825
