case_id,case_category,seed,obstacle_rate,path_length,optimal_cost,manhattan_path_length,unet_expanded_nodes,manhattan_expanded_nodes,mlp_table_expanded_nodes,unet_minus_manhattan_expanded,unet_minus_mlp_expanded,mae,mse,overestimate_rate,underestimate_rate,max_overestimate,max_underestimate,local_consistency_violation_rate,local_consistency_mean_violation,local_consistency_max_violation,obstacle_density,largest_obstacle_block_rate,corridor_rate,path_corridor_rate,articulation_rate,path_articulation_rate,manhattan_optimal_path_overlap,unet_optimal_path_overlap,structure_labels,near_goal_mean_abs_error,near_goal_max_abs_error,near_goal_cells,near_obstacle_mean_abs_error,near_obstacle_max_abs_error,near_obstacle_cells,corridor_mean_abs_error,corridor_max_abs_error,corridor_cells,bottleneck_mean_abs_error,bottleneck_max_abs_error,bottleneck_cells,optimal_path_mean_abs_error,optimal_path_max_abs_error,optimal_path_cells,other_mean_abs_error,other_max_abs_error,other_cells
unet_better_than_manhattan_rate0.1_seed0_size20,unet_better_than_manhattan,0,0.1,38,38,38,242,326,137,-84,105,1.594899411002795,5.4808210647537905,0.4583333333333333,0.5416666666666666,9.759834289550781,-6.2390594482421875,0.23295454545454544,0.3394137151565286,2.8577253818511963,0.1,0.01,0.075,0.10256410256410256,0.005555555555555556,0.0,1.0,0.14705882352941177,open space; multiple alternative routes,1.2063551687058949,4.745780944824219,21,1.9934271873708544,9.759834289550781,179,2.920130826808788,8.11046028137207,27,4.884707450866699,9.759834289550781,2,2.5722072430146046,7.016380310058594,39,1.1383453133594559,5.784793853759766,166
unet_better_than_manhattan_rate0.1_seed10_size20,unet_better_than_manhattan,10,0.1,38,38,38,256,344,151,-88,105,1.4386361206081553,4.401337561294988,0.4309859154929577,0.5690140845070423,9.386445999145508,-5.326961517333984,0.21677740863787376,0.34794118075535213,2.6766841411590576,0.11,0.0175,0.0898876404494382,0.1794871794871795,0.011235955056179775,0.02564102564102564,1.0,0.02631578947368421,open space; multiple alternative routes,1.130393283707755,4.451642990112305,21,1.8549881626887874,9.386445999145508,181,2.24735886819901,7.754631042480469,31,3.159438133239746,9.386445999145508,4,1.7176593847763844,5.326961517333984,39,1.012478490928551,5.457550048828125,154
unet_better_than_manhattan_rate0.1_seed11_size20,unet_better_than_manhattan,11,0.1,38,38,38,228,314,148,-86,80,2.0212518764866725,9.018052329048519,0.6972222222222222,0.30277777777777776,11.987598419189453,-6.012012481689453,0.22140522875816993,0.4187235383529945,2.563089370727539,0.1,0.005,0.1,0.1794871794871795,0.008333333333333333,0.05128205128205128,1.0,0.2,open space; multiple alternative routes,1.942141784562005,6.153829574584961,18,2.4228127460695257,11.987598419189453,177,2.6445038318634033,11.987598419189453,36,1.0956194400787354,1.4864470958709717,3,2.2824720419370212,6.012012481689453,39,1.5711628001160416,7.796176910400391,163
unet_better_than_manhattan_rate0.1_seed12_size20,unet_better_than_manhattan,12,0.1,38,38,38,219,283,133,-64,86,1.5519380111460466,5.020653333694478,0.5013623978201635,0.4986376021798365,8.928531646728516,-5.671577453613281,0.23835403726708074,0.33682928256180855,2.8689231872558594,0.08,0.01,0.07608695652173914,0.10256410256410256,0.005434782608695652,0.02564102564102564,1.0,0.02631578947368421,open space; multiple alternative routes,1.2194435426167078,4.689278602600098,21,2.0144097568183543,8.928531646728516,151,2.5045644530543574,7.282079696655273,27,5.42303466796875,8.928531646728516,2,1.9361699788998334,5.671577453613281,39,1.2639128174444643,6.91033935546875,198
unet_better_than_manhattan_rate0.1_seed13_size20,unet_better_than_manhattan,13,0.1,38,38,38,226,315,141,-89,85,1.496937985221545,4.699294997900944,0.5444444444444444,0.45555555555555555,8.356849670410156,-5.5876922607421875,0.22061191626409019,0.35651407363641,3.1687793731689453,0.0975,0.0175,0.10803324099722991,0.23076923076923078,0.0110803324099723,0.0,1.0,0.02631578947368421,open space; multiple alternative routes,1.0149555578827858,3.6082468032836914,16,1.9685405897788513,8.356849670410156,156,2.951254483900572,6.594352722167969,38,0.7815835475921631,1.5840320587158203,4,2.8122328397555227,6.57994270324707,39,1.083641526599725,5.3888092041015625,192
unet_better_than_manhattan_rate0.1_seed14_size20,unet_better_than_manhattan,14,0.1,38,38,38,235,352,149,-117,86,1.6573910511256567,5.649497108822358,0.5737704918032787,0.4262295081967213,7.8550872802734375,-6.029937744140625,0.21746031746031746,0.3642670712331786,2.9239420890808105,0.085,0.005,0.08196721311475409,0.1282051282051282,0.01366120218579235,0.02564102564102564,1.0,0.13043478260869565,open space; multiple alternative routes,1.2300654706500826,4.875565528869629,21,1.9954806008987878,7.8550872802734375,169,2.163318145275116,7.787517547607422,30,3.5519950866699217,7.791072845458984,5,2.953696247858879,6.868265151977539,39,1.3819880075352167,6.548395156860352,186
unet_better_than_manhattan_rate0.1_seed15_size20,unet_better_than_manhattan,15,0.1,38,38,38,223,294,123,-71,100,1.59167161696666,5.00230633235758,0.4486486486486487,0.5513513513513514,8.599231719970703,-6.112529754638672,0.22530864197530864,0.33230329866278663,2.728667736053467,0.075,0.0075,0.07567567567567568,0.10256410256410256,0.002702702702702703,0.02564102564102564,1.0,0.04,open space; multiple alternative routes,1.1346947465624129,4.363225936889648,21,1.971454700346916,8.599231719970703,155,2.153068091188158,6.971607208251953,28,4.296165466308594,4.296165466308594,1,2.213579618013822,6.112529754638672,39,1.3432067535361465,6.8939666748046875,196
unet_better_than_manhattan_rate0.1_seed16_size20,unet_better_than_manhattan,16,0.1,38,38,38,197,297,133,-100,64,1.835929528511955,6.3012303369076985,0.5750708215297451,0.42492917847025496,9.428747177124023,-8.963968276977539,0.21235194585448391,0.4007073417602782,2.6727957725524902,0.1175,0.0175,0.11614730878186968,0.20512820512820512,0.0084985835694051,0.07692307692307693,1.0,0.5918367346938775,open space; multiple alternative routes,1.6614046931266784,3.670363426208496,10,2.028314927156935,9.428747177124023,188,2.0438827625135096,8.963968276977539,41,1.7202083269755046,3.6181983947753906,3,0.9065191287260789,5.605701446533203,39,1.7189596279247388,7.275936126708984,148
unet_better_than_manhattan_rate0.1_seed17_size20,unet_better_than_manhattan,17,0.1,38,38,38,230,330,147,-100,83,1.6257715897006884,5.038010389881736,0.7071823204419889,0.292817679558011,8.399444580078125,-5.821559906005859,0.22763578274760382,0.41257609986422356,2.596101760864258,0.095,0.0075,0.0856353591160221,0.1282051282051282,0.019337016574585635,0.05128205128205128,1.0,0.2786885245901639,open space; multiple alternative routes,1.2084308942159017,3.330831527709961,15,2.0104615406960433,8.399444580078125,161,2.801937380144673,8.399444580078125,31,4.236618893487113,8.399444580078125,7,1.7515322489616199,5.821559906005859,39,1.2810278707080418,4.929521560668945,180
unet_better_than_manhattan_rate0.1_seed18_size20,unet_better_than_manhattan,18,0.1,38,38,38,206,367,150,-161,56,2.1988647609301237,9.859567103954147,0.7771739130434783,0.22282608695652173,9.382757186889648,-5.642162322998047,0.21384136858475894,0.4460648163882169,1.6853961944580078,0.08,0.0075,0.059782608695652176,0.1282051282051282,0.01358695652173913,0.05128205128205128,1.0,0.14705882352941177,open space; multiple alternative routes,1.6025720139344533,4.412452697753906,12,2.538695958425414,9.382757186889648,159,3.7827350713989953,8.378622055053711,22,3.385752773284912,5.268585205078125,5,3.188470103801825,8.396188735961914,39,1.8522066211700439,9.213708877563477,200
