ranking_lambda,epoch,train_loss,train_mse_loss,train_ranking_loss,train_mae,train_mse,val_loss,val_mse_loss,val_ranking_loss,val_mae,val_mse
0.1,1,0.09382401093840599,0.04460513609275222,0.4921887432336807,0.15612558260136744,0.044737918053857614,0.053187986969947816,0.02130343709886074,0.3188454942703247,0.10324621568525438,0.019884462448591753
0.1,2,0.046846810966730115,0.020067366922274232,0.26779443526268004,0.10085313244370503,0.01996550681505243,0.05078231447935105,0.021928926318883896,0.28853387808799746,0.10804221295623247,0.020126866510969104
0.1,3,0.038341314814984796,0.01634868407063186,0.2199263035953045,0.08718905431797823,0.01627674126097901,0.03621483600139618,0.017054801680147648,0.1916003407239914,0.08410615713865505,0.015807544968217457
0.1,4,0.02965619669482112,0.011831140764988958,0.17825055611133575,0.06947766857626192,0.011747898920493683,0.028667797818779945,0.01189303968846798,0.16774758118391037,0.06920186635494706,0.010564071371507146
0.1,5,0.0251160444393754,0.009846042287535965,0.15270001770555974,0.06135493050014387,0.009762269185411895,0.024911125347018243,0.010177777584642172,0.14733347439765931,0.057249023402025874,0.008985912087113811
0.1,6,0.02219311860576272,0.008429745976813138,0.13763372373580932,0.055480441345414966,0.008372087743786217,0.02566223932057619,0.010887947484850884,0.14774291670322418,0.057239589261358886,0.009730783163037849
0.1,7,0.01979601746611297,0.007350355922244489,0.12445661272108555,0.051518282407242946,0.007310794107077375,0.0212485281303525,0.008355278313159943,0.12893249532580375,0.04903801319310423,0.007207096161439055
0.1,8,0.017882110364735127,0.006448418245650828,0.11433691883087158,0.0472917765197092,0.006392081900307655,0.020968414947390556,0.007728595402091741,0.1323981931209564,0.04634527984260553,0.006676215969420828
0.1,9,0.01610484889149666,0.005702015682123601,0.10402833004295826,0.04417629991441831,0.005649419811478451,0.019624730817973612,0.006199332259595394,0.13425398313999176,0.04221186681887169,0.005332065325128049
0.1,10,0.01454196515865624,0.004987431106623262,0.09554533948004246,0.04156648104166002,0.0049362075837202975,0.019620643727481367,0.00631138957105577,0.13309253844618799,0.040346720935787395,0.005340655360914984
0.1,11,0.013237908598035574,0.004369310187641531,0.0886859825104475,0.038421065502083906,0.004346276560808913,0.01807052740082145,0.005563140409998596,0.1250738674402237,0.04080858352533127,0.004742719804118875
0.1,12,0.012271352126263083,0.003974816656438633,0.08296535354107619,0.036840211816527836,0.003928031685260918,0.01712929690629244,0.005428904611617327,0.11700392270088196,0.03888274272239511,0.0046890903340299816
0.1,13,0.011512835450470448,0.0037515524185728283,0.07761282876878976,0.03548309242112488,0.0037037892499383216,0.01616952043771744,0.005250872820615768,0.10918647465109825,0.03735438337874056,0.0045377415051245295
