ranking_lambda,scope,cases,mae,mse,tie_set_ordering_accuracy,direct_unet_mean_expanded_nodes,direct_unet_optimality_rate,unet_tiebreak_mean_expanded_nodes,unet_tiebreak_optimality_rate,case_id,structure_type,pairwise_ordering_accuracy,pairwise_pairs,tie_set_decisions,algorithm,expanded_nodes,path_cost,optimal_cost,optimal
0.1,prediction,,0.8014434709915748,1.0027708214850386,1.0,,,,,test_4538,open_random,0.96484375,512,9,,,,,
0.1,prediction,,1.2063459614912668,3.657434896616908,1.0,,,,,test_4539,open_random,0.919921875,512,15,,,,,
0.1,prediction,,0.9626487308407422,3.1453958579401307,1.0,,,,,test_4540,open_random,0.939453125,512,8,,,,,
0.1,prediction,,0.9945626975591308,4.2801947131953595,1.0,,,,,test_4541,open_random,0.927734375,512,10,,,,,
0.1,prediction,,1.8556530289932203,10.262942310802133,1.0,,,,,test_4542,open_random,0.837890625,512,9,,,,,
0.1,prediction,,1.630637583117815,15.476829893982549,1.0,,,,,test_4543,open_random,0.951171875,512,9,,,,,
0.1,prediction,,0.6513024505073503,2.0342562170755714,1.0,,,,,test_4544,open_random,0.96484375,512,4,,,,,
0.1,prediction,,2.398089205258645,23.940376317907706,0.95,,,,,test_4545,open_random,0.826171875,512,20,,,,,
0.1,prediction,,0.9864241420276582,10.43799545844483,1.0,,,,,test_4546,open_random,0.96484375,512,8,,,,,
0.1,prediction,,0.8478253884156062,3.3056748877292024,1.0,,,,,test_4547,open_random,0.9609375,512,8,,,,,
0.1,prediction,,0.6860974265778919,0.7488894972783107,1.0,,,,,test_4548,open_random,0.919921875,512,8,,,,,
0.1,prediction,,1.8876162962413128,15.04001122435339,1.0,,,,,test_4549,open_random,0.83203125,512,12,,,,,
0.1,prediction,,2.9868421852588654,35.591060193682196,1.0,,,,,test_4550,open_random,0.828125,512,12,,,,,
0.1,prediction,,13.127381003888926,372.4903592287591,1.0,,,,,test_4551,open_random,0.80078125,512,10,,,,,
0.1,prediction,,3.6362448803921965,69.98416602682276,1.0,,,,,test_4552,open_random,0.9296875,512,10,,,,,
0.1,prediction,,8.853812587561368,262.46659908100855,1.0,,,,,test_4553,open_random,0.880859375,512,11,,,,,
0.1,prediction,,1.3716682706560408,10.560388923097953,1.0,,,,,test_4554,open_random,0.931640625,512,9,,,,,
0.1,prediction,,2.554810492154945,24.103895730043515,1.0,,,,,test_4555,open_random,0.900390625,512,10,,,,,
0.1,prediction,,2.522336566284911,34.00499465124468,0.9230769230769231,,,,,test_4556,open_random,0.955078125,512,13,,,,,
0.1,prediction,,4.294622428660845,91.26245235525217,0.8666666666666667,,,,,test_4557,open_random,0.921875,512,15,,,,,
0.1,prediction,,3.0434827218831204,23.50770135856422,1.0,,,,,test_4558,open_random,0.908203125,512,13,,,,,
0.1,prediction,,2.2560560522784647,30.926750164988675,1.0,,,,,test_4559,open_random,0.9296875,512,7,,,,,
0.1,prediction,,3.2083896905905647,33.5644378200427,1.0,,,,,test_4560,open_random,0.84765625,512,15,,,,,
0.1,prediction,,10.508701715873897,306.467103871518,1.0,,,,,test_4561,open_random,0.865234375,512,9,,,,,
0.1,prediction,,2.442734532979689,28.535058516842263,1.0,,,,,test_4562,open_random,0.92578125,512,11,,,,,
0.1,prediction,,2.750759526066584,49.76531086547511,1.0,,,,,test_4563,open_random,0.9296875,512,7,,,,,
0.1,prediction,,1.36517331249825,5.661094704107459,1.0,,,,,test_4564,open_random,0.912109375,512,10,,,,,
0.1,prediction,,3.082594566155171,38.32956626993689,1.0,,,,,test_4565,open_random,0.85546875,512,8,,,,,
0.1,prediction,,2.5337596796453,26.30861381654195,1.0,,,,,test_4566,open_random,0.880859375,512,5,,,,,
0.1,prediction,,14.970532174991524,354.0456834232271,1.0,,,,,test_4567,open_random,0.990234375,512,4,,,,,
0.1,prediction,,2.5869760732440388,36.24753404720622,1.0,,,,,test_4568,open_random,0.9140625,512,7,,,,,
0.1,prediction,,6.480044917703948,158.03975546293236,0.47619047619047616,,,,,test_4569,open_random,0.740234375,512,21,,,,,
0.1,prediction,,1.6906688590483232,11.98437229223572,1.0,,,,,test_4570,open_random,0.873046875,512,9,,,,,
0.1,prediction,,2.99429016506549,19.508482319921395,1.0,,,,,test_4571,open_random,0.869140625,512,14,,,,,
0.1,prediction,,2.345710804171887,22.341898737731842,1.0,,,,,test_4572,open_random,0.80859375,512,16,,,,,
0.1,prediction,,5.390067934989929,103.10683693025095,1.0,,,,,test_4573,open_random,0.841796875,512,6,,,,,
0.1,prediction,,2.6122424997103755,19.74053774721726,0.5882352941176471,,,,,test_4574,open_random,0.81640625,512,17,,,,,
0.1,prediction,,4.48736747526655,91.58353079239646,1.0,,,,,test_4575,open_random,0.876953125,512,10,,,,,
0.1,prediction,,7.712146605436619,153.4655504988797,1.0,,,,,test_4576,open_random,0.853515625,512,9,,,,,
0.1,prediction,,26.780031205799087,819.7382654898154,0.0,,,,,test_4577,open_random,0.931640625,512,0,,,,,
0.1,prediction,,10.813329702027366,261.8846627427507,1.0,,,,,test_4578,open_random,0.701171875,512,14,,,,,
0.1,prediction,,17.039923234796916,370.62414962039225,0.0,,,,,test_4579,open_random,0.982421875,512,0,,,,,
0.1,prediction,,4.0574281846339275,60.38799714980903,0.9230769230769231,,,,,test_4580,open_random,0.78515625,512,13,,,,,
0.1,prediction,,30.59679369131724,1009.307937636449,0.0,,,,,test_4581,open_random,0.98828125,512,0,,,,,
0.1,prediction,,5.4314542798703656,103.32166560177089,1.0,,,,,test_4582,open_random,0.837890625,512,9,,,,,
0.1,prediction,,21.49458866876594,613.8036536189791,0.0,,,,,test_4583,open_random,0.890625,512,0,,,,,
0.1,prediction,,11.098538476061151,332.0495057508834,0.72,,,,,test_4584,open_random,0.83984375,512,25,,,,,
0.1,prediction,,29.365034409233782,922.5414221882403,0.0,,,,,test_4585,open_random,1.0,512,0,,,,,
0.1,prediction,,5.213794750353647,87.71985544022124,1.0,,,,,test_4586,open_random,0.8203125,512,13,,,,,
0.1,prediction,,11.054773875987195,241.92527312323853,1.0,,,,,test_4587,open_random,0.865234375,512,19,,,,,
0.1,prediction,,19.13194051881631,571.9702167097579,1.0,,,,,test_4588,open_random,0.97265625,512,6,,,,,
0.1,prediction,,21.272707856599258,601.9770109567322,0.0,,,,,test_4589,open_random,0.916015625,512,0,,,,,
0.1,prediction,,7.297870308881806,194.12035683664183,1.0,,,,,test_4590,open_random,0.9140625,512,13,,,,,
0.1,prediction,,24.09979265144622,672.1457280701692,0.0,,,,,test_4591,open_random,0.990234375,512,0,,,,,
0.1,prediction,,27.041632154335577,909.7839963494862,1.0,,,,,test_4592,open_random,0.9765625,512,3,,,,,
0.1,prediction,,24.283063649874308,660.3884092062362,0.0,,,,,test_4593,open_random,0.900390625,512,0,,,,,
0.1,prediction,,29.291403638633863,959.5073144063598,0.0,,,,,test_4594,open_random,0.951171875,512,0,,,,,
0.1,prediction,,11.321681099066597,262.024398088637,1.0,,,,,test_4595,open_random,0.666015625,512,14,,,,,
0.1,prediction,,14.33581134208963,291.3639444606626,1.0,,,,,test_4596,open_random,0.76953125,512,6,,,,,
0.1,prediction,,25.450864720062945,755.4028415824249,1.0,,,,,test_4597,open_random,0.8515625,512,3,,,,,
0.1,prediction,,7.226885010271657,174.19240244292945,1.0,,,,,test_4598,open_random,0.900390625,512,13,,,,,
0.1,prediction,,26.36875107823586,792.4067386424153,1.0,,,,,test_4599,open_random,0.857421875,512,3,,,,,
0.1,prediction,,0.38835984074844504,0.2260857624418697,1.0,,,,,test_4600,narrow_corridor,0.994140625,512,7,,,,,
0.1,prediction,,0.696133213065495,0.6802681323543021,1.0,,,,,test_4601,narrow_corridor,0.990234375,512,12,,,,,
