structured_type,maps,mean_unet_minus_mlp_expanded,mean_unet_minus_manhattan_expanded,mean_mlp_minus_manhattan_expanded,unet_better_than_mlp_count,mlp_better_than_unet_count,tie_count
bottleneck,12,9.083333333333334,-13.25,-22.333333333333332,2,9,1
large_block,12,24.833333333333332,-6.333333333333333,-31.166666666666668,0,9,3
maze_like,12,-3.25,-17.083333333333332,-13.833333333333334,3,8,1
narrow_corridor,12,15.5,6.333333333333333,-9.166666666666666,0,9,3
