heuristic,metric,target,n,pearson,mean_metric,mean_target
dijkstra,mae,expanded_nodes,6,-0.9617341458694125,20.162792118011026,317.1666666666667
dijkstra,mae,runtime_seconds,6,-0.3650456037154164,20.162792118011026,0.0008073891673727
dijkstra,mae,optimal,6,,20.162792118011026,1.0
dijkstra,mse,expanded_nodes,6,-0.9637511014016831,476.40481632258474,317.1666666666667
dijkstra,mse,runtime_seconds,6,-0.33815500784153973,476.40481632258474,0.0008073891673727
dijkstra,mse,optimal,6,,476.40481632258474,1.0
dijkstra,overestimate_rate,expanded_nodes,6,,0.0,317.1666666666667
dijkstra,overestimate_rate,runtime_seconds,6,,0.0,0.0008073891673727
dijkstra,overestimate_rate,optimal,6,,0.0,1.0
manhattan,mae,expanded_nodes,6,-0.8976128403965687,1.1198007492044313,247.16666666666666
manhattan,mae,runtime_seconds,6,-0.9302926756581722,1.1198007492044313,0.0006978818331238775
manhattan,mae,optimal,6,,1.1198007492044313,1.0
manhattan,mse,expanded_nodes,6,-0.841105751578193,6.750913397470114,247.16666666666666
manhattan,mse,runtime_seconds,6,-0.8655407946539931,6.750913397470114,0.0006978818331238775
manhattan,mse,optimal,6,,6.750913397470114,1.0
manhattan,overestimate_rate,expanded_nodes,6,,0.0,247.16666666666666
manhattan,overestimate_rate,runtime_seconds,6,,0.0,0.0006978818331238775
manhattan,overestimate_rate,optimal,6,,0.0,1.0
mlp_table,mae,expanded_nodes,6,-0.5389662106898119,1.3720082032887115,136.5
mlp_table,mae,runtime_seconds,6,-0.5088183968819264,1.3720082032887115,0.0010177918332677411
mlp_table,mae,optimal,6,,1.3720082032887115,1.0
mlp_table,mse,expanded_nodes,6,-0.521488249328053,4.479422200337196,136.5
mlp_table,mse,runtime_seconds,6,-0.5165689292497068,4.479422200337196,0.0010177918332677411
mlp_table,mse,optimal,6,,4.479422200337196,1.0
mlp_table,overestimate_rate,expanded_nodes,6,0.3924515016924303,0.7550641655014431,136.5
mlp_table,overestimate_rate,runtime_seconds,6,0.5593549206622178,0.7550641655014431,0.0010177918332677411
mlp_table,overestimate_rate,optimal,6,,0.7550641655014431,1.0
unet,mae,expanded_nodes,6,-0.5371821390047744,3.929795852452271,181.33333333333334
unet,mae,runtime_seconds,6,-0.6844936049403706,3.929795852452271,0.0011904793330662262
unet,mae,optimal,6,,3.929795852452271,1.0
unet,mse,expanded_nodes,6,-0.3948297579218689,27.90507054520047,181.33333333333334
unet,mse,runtime_seconds,6,-0.5695708429655907,27.90507054520047,0.0011904793330662262
unet,mse,optimal,6,,27.90507054520047,1.0
unet,overestimate_rate,expanded_nodes,6,-0.7160769585769812,0.8008432434450451,181.33333333333334
unet,overestimate_rate,runtime_seconds,6,-0.74430085562808,0.8008432434450451,0.0011904793330662262
unet,overestimate_rate,optimal,6,,0.8008432434450451,1.0
