obstacle_rate,paired_maps,unet_better_count,mlp_table_better_count,tie_count,mean_unet_minus_mlp_expanded
0.1,2,0,2,0,79.5
0.2,2,0,2,0,27.0
0.3,2,0,1,1,28.0
