scope,map_size,structure_type,algorithm,cases,mean_expanded_nodes,median_expanded_nodes,optimality_rate,mean_path_cost_gap,mean_astar_search_seconds,mean_total_runtime_seconds,mean_expanded_nodes_saved_vs_manhattan,expansion_reduction_fraction_vs_manhattan,total_runtime_overhead_seconds_vs_manhattan,total_runtime_overhead_fraction_vs_manhattan,total_runtime_multiplier_vs_manhattan,astar_search_overhead_seconds_vs_manhattan,astar_search_multiplier_vs_manhattan
overall,,,manhattan_astar,1500,35120.53666666667,2721.5,1.0,0.0,0.07374227139524495,0.07374227139524495,0.0,0.0,0.0,0.0,1.0,0.0,1.0
overall,,,full_map_unet_tiebreak,1500,23495.856666666667,1277.0,1.0,0.0,0.1665859998273566,0.6592433738193164,11624.68,0.330993803150882,0.5855011024240715,7.939830050608203,8.939830050608203,0.09284372843211167,2.2590299522303354
overall,,,region_cache_patch_32,1500,19052.002666666667,703.0,1.0,0.0,0.10244286421105789,0.5233819354752098,16068.534,0.4575252978765226,0.4496396640799649,6.097447984345091,7.09744798434509,0.028700592815812942,1.3892013667708045
overall,,,region_cache_patch_64,1500,20533.496666666666,1158.5,1.0,0.0,0.10609038937935839,0.5246887798113505,14587.04,0.41534217254273165,0.4509465084161056,6.1151697646946035,7.115169764694603,0.03234811798411344,1.4386645186277691
map_size,100,,manhattan_astar,500,911.168,427.0,1.0,0.0,0.0013547917180985677,0.0013547917180985677,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size,100,,full_map_unet_tiebreak,500,512.524,135.5,1.0,0.0,0.004109239764075028,0.03839404268215003,398.644,0.43750877993959403,0.03703925096405146,27.33944300754625,28.33944300754625,0.00275444804597646,3.0331155034238706
map_size,100,,region_cache_patch_32,500,477.76,109.5,1.0,0.0,0.0033241613699210573,0.057556380412337606,433.408,0.4756620074453888,0.05620158869423904,41.4835638153422,42.4835638153422,0.0019693696518224895,2.4536327802375952
map_size,100,,region_cache_patch_64,500,492.302,109.0,1.0,0.0,0.0026570921210950474,0.06339782933998504,418.866,0.4597022722483669,0.062043037621886475,45.79525900037466,46.79525900037466,0.0013023004029964797,1.9612550664424204
map_size,500,,manhattan_astar,500,22591.872,10204.5,1.0,0.0,0.04265018982166657,0.04265018982166657,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size,500,,full_map_unet_tiebreak,500,14816.45,4298.0,1.0,0.0,0.24313233540585497,0.8096941489156306,7775.421999999999,0.34416900024929314,0.7670439590939641,17.984537989190866,18.984537989190866,0.2004821455841884,5.700615552298015
map_size,500,,region_cache_patch_32,500,11887.36,1682.5,1.0,0.0,0.1472841087160923,0.8234465790858958,10704.511999999999,0.47382138142425734,0.7807963892642292,18.306985092656717,19.306985092656717,0.10463391889442572,3.4533048816882643
map_size,500,,region_cache_patch_64,500,13342.302,3177.5,1.0,0.0,0.1543159140462667,0.8457300065922464,9249.57,0.40942025521391057,0.8030798167705798,18.82945469008464,19.82945469008464,0.11166572422460014,3.6181764885809073
map_size,1000,,manhattan_astar,500,81858.57,30787.5,1.0,0.0,0.1772218326459697,0.1772218326459697,0.0,0.0,0.0,0.0,1.0,0.0,1.0
map_size,1000,,full_map_unet_tiebreak,500,55158.596,14141.0,1.0,0.0,0.2525164243121399,1.1296419298601685,26699.97400000001,0.32617200618090453,0.9524200972141988,5.3741691020474756,6.3741691020474756,0.0752945916661702,1.4248606988315247
