case_id,map_size,structure_type,seed,obstacle_rate,grid_sha256,start,goal,optimal_cost,algorithm,path_found,path_cost,path_cost_gap,optimal,expanded_nodes,unet_call_count,unet_scored_node_count,cache_hit_count,cache_hit_rate,cached_region_count,patch_extraction_seconds,cache_lookup_seconds,unet_inference_seconds,full_map_inference_seconds,astar_search_seconds,total_runtime_seconds
size100_bottleneck_seed120460745,100,bottleneck,120460745,0.2,d9287c590ca51e9b943d129b938974c772eef54cb0a608dfc388dfd1d258ddc0,"28,91","42,48",99,manhattan_astar,True,99,0,True,2775,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.004453582994756289,0.004453582994756289
size100_bottleneck_seed120460746,100,bottleneck,120460746,0.3,d6bd3343b2bbd3b213452f7b1219f4c02996a995c89941b5d3011a31cd171808,"11,26","52,54",105,manhattan_astar,True,105,0,True,2650,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.004404999999678694,0.004404999999678694
size100_bottleneck_seed120460747,100,bottleneck,120460747,0.4,006d639c7db438267c5a42e8866885c5f680e3a3df4c4b106e7d183b896500bf,"24,89","81,96",64,manhattan_astar,True,64,0,True,347,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0005605420010397211,0.0005605420010397211
size100_bottleneck_seed120460748,100,bottleneck,120460748,0.1,cd7be3d6eccf241b873a4c47f59c09577556197d4700f192353a6a5063344eb7,"24,26","16,63",165,manhattan_astar,True,165,0,True,4765,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.007042790995910764,0.007042790995910764
size100_bottleneck_seed120460749,100,bottleneck,120460749,0.2,60f2e4534d16294b2e332866bf66fce2f90ea4d91b65627ca0a47b8af5134174,"8,78","93,80",87,manhattan_astar,True,87,0,True,223,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.000429833002272062,0.000429833002272062
size100_bottleneck_seed120460750,100,bottleneck,120460750,0.3,b529dc83577eab5f658d73200370af7d3a71e935f52d359a5bfe1a15782bb023,"41,13","74,23",43,manhattan_astar,True,43,0,True,342,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0005528339970624074,0.0005528339970624074
size100_bottleneck_seed120460751,100,bottleneck,120460751,0.4,c7a72a5eac04bfd8ca345385593f1cecf5d8a8639ac5eb10cd01709641363c1b,"28,42","82,79",133,manhattan_astar,True,133,0,True,4097,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.00655937498959247,0.00655937498959247
size100_bottleneck_seed120460752,100,bottleneck,120460752,0.1,9f305861ef9f753aa22b6e48baeb20a075d6ce595138c0045563599e594b3e0c,"37,2","2,82",115,manhattan_astar,True,115,0,True,2376,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.003623791999416426,0.003623791999416426
size100_bottleneck_seed120460753,100,bottleneck,120460753,0.2,dfce92bea5d63a2a7f2e05bccfbad47823b85240cd2fcc70bd9c04b34287faf8,"99,39","27,39",74,manhattan_astar,True,74,0,True,160,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0005437920044641942,0.0005437920044641942
size100_bottleneck_seed120460754,100,bottleneck,120460754,0.3,1be884ffa41dd5ee81363c193ff91368094a7345d4c05577f8129365277f8b62,"49,4","36,70",97,manhattan_astar,True,97,0,True,1772,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.002552874997491017,0.002552874997491017
size100_bottleneck_seed120460755,100,bottleneck,120460755,0.4,64b6008c67378b8c3109e6665e412b981f83e588620053d27c16f48f0ed1ba9d,"92,98","97,98",5,manhattan_astar,True,5,0,True,6,0,0,0,0.0,0,0.0,0.0,0.0,0.0,2.1333005861379206e-05,2.1333005861379206e-05
size100_bottleneck_seed120460756,100,bottleneck,120460756,0.1,eed5da6137592abc6e7933dbc7a35b6219fc09e5dd36ba281f8d9cf33d8aad15,"49,91","80,79",43,manhattan_astar,True,43,0,True,377,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0005690830003004521,0.0005690830003004521
size100_bottleneck_seed120460757,100,bottleneck,120460757,0.2,73a1c44e6f40dcb4f2de78b3b2d9f1addf116a9c9316b620b304a5860059b291,"74,44","92,13",49,manhattan_astar,True,49,0,True,596,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0009030000073835254,0.0009030000073835254
size100_bottleneck_seed120460758,100,bottleneck,120460758,0.3,f708b35d9a95cfe0e0f845831063c6cb9942fba1c611261ea51e9798f235fcb4,"13,0","22,46",79,manhattan_astar,True,79,0,True,1517,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.002135624992661178,0.002135624992661178
size100_bottleneck_seed120460759,100,bottleneck,120460759,0.4,266cade7873bcba9cdc29439f3e8ced34963b75a1c2b95463883051e0765d3aa,"70,33","10,22",71,manhattan_astar,True,71,0,True,640,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0009797920065466315,0.0009797920065466315
size100_bottleneck_seed120460760,100,bottleneck,120460760,0.1,288384d5579bc0d08860b280fcf0c9310f99e5a3e6f5ba4843ca9dfb89f43333,"13,56","76,14",121,manhattan_astar,True,121,0,True,3574,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.005415750012616627,0.005415750012616627
size100_bottleneck_seed120460761,100,bottleneck,120460761,0.2,1ec6c813633687a51588ba2f8f6da6c1a69f093e613af99c6052125bb663c4a5,"82,31","68,14",31,manhattan_astar,True,31,0,True,264,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.00038795800355728716,0.00038795800355728716
size100_bottleneck_seed120460762,100,bottleneck,120460762,0.3,b314fdcd560a8c5cc118105b2b57647018bc802159c9cf06f260009d1889684f,"65,99","86,17",149,manhattan_astar,True,149,0,True,4143,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.006128374996478669,0.006128374996478669
size100_bottleneck_seed120460763,100,bottleneck,120460763,0.4,ce7e076ebcc8f6ef2b6a85c2e8502650f7ee097830b548f8e5097911cdd26ede,"47,17","81,15",36,manhattan_astar,True,36,0,True,100,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.00016450000111944973,0.00016450000111944973
size100_bottleneck_seed120460764,100,bottleneck,120460764,0.1,4e71919204f2fd00269f2dd4b9ddcb90e93e07f8d41b21456da85075d29cd0d9,"12,9","5,53",83,manhattan_astar,True,83,0,True,1461,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.002043583008344285,0.002043583008344285
size100_bottleneck_seed120460765,100,bottleneck,120460765,0.2,4e1a0e49b73c796c72bf7fa3e131af59c5c2391c5368dad5658c7ab434ada55f,"70,18","12,82",152,manhattan_astar,True,152,0,True,6103,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.009308792010415345,0.009308792010415345
size100_bottleneck_seed120460766,100,bottleneck,120460766,0.3,c55875bfeb8f3a3b2908747d135ea8b304635c70d4e66ef82dc31af530b3920b,"61,71","20,13",101,manhattan_astar,True,101,0,True,1409,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0021313339966582134,0.0021313339966582134
size100_bottleneck_seed120460767,100,bottleneck,120460767,0.4,618ebec84d32aa6059160f4fca6f4ac69e664960d049f8a35ac8a43d67d12983,"86,34","8,30",84,manhattan_astar,True,84,0,True,436,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0006921250023879111,0.0006921250023879111
size100_bottleneck_seed120460768,100,bottleneck,120460768,0.1,e7ba8b8a5152d66f3d8eb4fc89f66e04ac0fe54f935b260eefd11946e21b7197,"11,89","72,72",78,manhattan_astar,True,78,0,True,1045,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.001597374997800216,0.001597374997800216
size100_bottleneck_seed120460769,100,bottleneck,120460769,0.2,92d72be9fbe789fbbc1bf288b295889468f929b13a12637a5c70353c560bdddc,"73,78","77,11",75,manhattan_astar,True,75,0,True,361,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0005314999871188775,0.0005314999871188775
size100_bottleneck_seed120460770,100,bottleneck,120460770,0.3,eb175d023a149a1461dfa19b0134ae146f6c24a83f43222d659b41677b0db495,"20,90","59,43",110,manhattan_astar,True,110,0,True,3096,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.004564541988656856,0.004564541988656856
size100_bottleneck_seed120460771,100,bottleneck,120460771,0.4,85bad55679d166d6616bb164416ea88b15c30ede724180f98027e9ec7de15423,"74,64","45,11",160,manhattan_astar,True,160,0,True,4710,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0067633330036187544,0.0067633330036187544
