abs_spearman,all_free_cell_count,articulation_near_path_count,cost_gap,critical_cell_count,critical_k,critical_unet_minus_mlp_large_overestimate_rate,critical_unet_minus_mlp_mae,critical_unet_minus_mlp_ordering_accuracy,critical_unet_minus_mlp_overestimate_rate,critical_unet_minus_mlp_rmse,critical_unet_minus_mlp_spearman,global_unet_minus_mlp_large_overestimate_rate,global_unet_minus_mlp_mae,global_unet_minus_mlp_ordering_accuracy,global_unet_minus_mlp_overestimate_rate,global_unet_minus_mlp_rmse,global_unet_minus_mlp_spearman,goal_col,goal_row,low_degree_near_path_count,map_mode,map_size,maps,mean_cost_gap,mean_critical_fraction,mean_critical_unet_minus_mlp_large_overestimate_rate,mean_critical_unet_minus_mlp_mae,mean_critical_unet_minus_mlp_ordering_accuracy,mean_critical_unet_minus_mlp_overestimate_rate,mean_critical_unet_minus_mlp_rmse,mean_critical_unet_minus_mlp_spearman,mean_global_unet_minus_mlp_large_overestimate_rate,mean_global_unet_minus_mlp_mae,mean_global_unet_minus_mlp_ordering_accuracy,mean_global_unet_minus_mlp_overestimate_rate,mean_global_unet_minus_mlp_rmse,mean_global_unet_minus_mlp_spearman,mean_mlp_critical_large_overestimate_rate,mean_mlp_critical_mae,mean_mlp_critical_ordering_accuracy,mean_mlp_critical_overestimate_rate,mean_mlp_critical_rmse,mean_mlp_critical_spearman,mean_mlp_global_large_overestimate_rate,mean_mlp_global_mae,mean_mlp_global_ordering_accuracy,mean_mlp_global_overestimate_rate,mean_mlp_global_rmse,mean_mlp_global_spearman,mean_unet_critical_large_overestimate_rate,mean_unet_critical_mae,mean_unet_critical_minus_global_large_overestimate_rate,mean_unet_critical_minus_global_mae,mean_unet_critical_minus_global_ordering_accuracy,mean_unet_critical_minus_global_overestimate_rate,mean_unet_critical_ordering_accuracy,mean_unet_critical_overestimate_rate,mean_unet_critical_rmse,mean_unet_critical_spearman,mean_unet_global_large_overestimate_rate,mean_unet_global_mae,mean_unet_global_ordering_accuracy,mean_unet_global_overestimate_rate,mean_unet_global_rmse,mean_unet_global_spearman,mean_unet_minus_mlp_expanded,metric_scope,mlp_critical_cell_count,mlp_critical_large_overestimate_rate,mlp_critical_mae,mlp_critical_ordering_accuracy,mlp_critical_overestimate_rate,mlp_critical_rmse,mlp_critical_spearman,mlp_global_cell_count,mlp_global_large_overestimate_rate,mlp_global_mae,mlp_global_ordering_accuracy,mlp_global_overestimate_rate,mlp_global_rmse,mlp_global_spearman,mlp_path_length,mlp_wins,n,obstacle_rate,optimal_cost,path_cell_count,pearson,row_type,scope,seed,source,spearman,start_col,start_row,structured_type,unet_critical_cell_count,unet_critical_large_overestimate_rate,unet_critical_mae,unet_critical_minus_global_large_overestimate_rate,unet_critical_minus_global_mae,unet_critical_minus_global_ordering_accuracy,unet_critical_minus_global_overestimate_rate,unet_critical_ordering_accuracy,unet_critical_overestimate_rate,unet_critical_rmse,unet_critical_spearman,unet_global_cell_count,unet_global_large_overestimate_rate,unet_global_mae,unet_global_ordering_accuracy,unet_global_overestimate_rate,unet_global_rmse,unet_global_spearman,unet_minus_mlp_expanded,unet_optimal,unet_path_length,unet_wins,x,y
,360,0,0.0,95,2,0.0,-0.13629108290923275,-0.002564102564102555,-0.4210526315789474,0.005149226194440248,-0.0014396954370372583,-0.008333333333333333,-0.29330937216679254,-0.005067703878245955,-0.4,-0.2620785718723795,-0.0025680578112431407,3,7,1,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,0.0,0.7342315272281045,0.986013986013986,0.8315789473684211,0.8658619402030459,0.9943592163592486,360,0.008333333333333333,0.8956875840822855,0.9837155630154452,0.9444444444444444,1.0845897424237085,0.9933870015926001,21.0,True,,0.1,21.0,22,,map,map,0,random_sg_100,,19,6,random,95,0.0,0.5979404443188717,0.0,-0.004437767596621289,0.004802024312684283,-0.13391812865497071,0.9834498834498835,0.4105263157894737,0.8710111663974861,0.9929195209222114,360,0.0,0.602378211915493,0.9786478591371992,0.5444444444444444,0.822511170551329,0.9908189437813569,18.0,True,21.0,False,,
,355,0,0.0,63,2,0.0,-0.3466412358813816,-0.004347826086956497,-0.39682539682539675,-0.4144202539725641,-0.0019363442778974616,0.0,-0.22944435233801186,-0.00819171669889085,-0.3971830985915493,-0.2345888226498175,-0.0036200237647247002,9,8,1,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,0.0,0.9549184451027523,0.9847826086956522,0.9523809523809523,1.14654312854814,0.9908213381634041,355,0.0,0.8606045064791827,0.9817509582442929,0.9605633802816902,1.052276207024746,0.9891652994260278,13.0,True,,0.1,13.0,14,,map,map,1,random_sg_100,,11,19,random,63,0.0,0.6082772092213706,0.0,-0.022882944919800252,0.006875541063293578,-0.007824726134585291,0.9804347826086957,0.5555555555555556,0.7321228745755759,0.9888849938855067,355,0.0,0.6311601541411709,0.9735592415454021,0.5633802816901409,0.8176873843749285,0.9855452756613031,10.0,True,13.0,False,,
,355,1,0.0,41,2,0.0,-0.02513853805821109,-0.003931847968545288,-0.36585365853658536,-0.0033102100377900845,-0.0029650078387132295,0.008450704225352112,0.05211541451198953,-0.013275306580301183,-0.2507042253521127,0.11039748838913355,-0.006612191640756326,10,6,5,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,0.0,0.6421836178477217,0.9829619921363041,0.8536585365853658,0.7738968838783207,0.9858708604862805,355,0.0,0.7970396968680369,0.977126663630383,0.9126760563380282,0.9592845011514378,0.9863463012121135,9.0,True,,0.1,9.0,10,,map,map,2,random_sg_100,,3,4,random,41,0.0,0.6170450797895106,-0.008450704225352112,-0.2321100315905158,0.01517878711767695,-0.17416695293713502,0.9790301441677588,0.4878048780487805,0.7705866738405306,0.9829058526475672,355,0.008450704225352112,0.8491551113800264,0.9638513570500818,0.6619718309859155,1.0696819895405714,0.9797341095713572,4.0,True,9.0,False,,
,360,0,0.0,88,2,0.17045454545454547,0.40832119096409203,-0.02621021663546408,-0.18181818181818188,0.6339716603203507,-0.01231750833580847,0.06388888888888888,0.33639432787895207,-0.03344305253738977,-0.4694444444444444,0.502829519053605,-0.021537254347800516,19,0,11,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,0.07954545454545454,1.538634252819148,0.9884995988232148,0.9772727272727273,1.8119692839473194,0.9962115271851638,360,0.041666666666666664,1.006279158923361,0.9811932762367378,0.9527777777777777,1.3338078802745859,0.9929856898740053,30.0,True,,0.1,30.0,31,,map,map,3,random_sg_100,,0,11,random,88,0.25,1.94695544378324,0.14444444444444443,0.6042819569809268,0.014539158488402704,0.3121212121212121,0.9622893821877507,0.7954545454545454,2.44594094426767,0.9838940188493553,360,0.10555555555555556,1.3426734868023131,0.947750223699348,0.48333333333333334,1.8366373993281908,0.9714484355262047,76.0,True,30.0,False,,
,356,0,0.0,46,2,0.0,-0.0013792346353116436,0.024844720496894346,-0.2173913043478261,0.12154757204812205,0.019107155902987172,-0.0028089887640449437,-0.2948270579067508,0.01816378811668462,-0.28370786516853935,-0.25421709388468783,0.008149813057494848,3,10,3,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,0.0,1.0151741271433623,0.9399585921325052,0.391304347826087,1.2074591248965423,0.949758559748966,356,0.0028089887640449437,0.9945230467265911,0.9576398644740104,0.6404494382022472,1.152935625106488,0.9816446692395908,10.0,True,,0.1,10.0,11,,map,map,4,random_sg_100,,6,15,random,46,0.0,1.0137948925080507,0.0,0.31409890368821036,-0.011000339961295458,-0.18282852955544698,0.9648033126293996,0.17391304347826086,1.3290066969446643,0.9688657156519531,356,0.0,0.6996959888198403,0.975803652590695,0.35674157303370785,0.8987185312218001,0.9897944822970857,3.0,True,10.0,False,,
,361,0,0.0,49,2,-0.061224489795918366,-0.5017354591768616,-0.00723327305605781,-0.20408163265306123,-0.4650579938762609,-0.003758418975407851,-0.0027700831024930726,-0.04864381233080606,-0.005754822254104841,-0.32963988919667586,0.03189543742470202,-0.0033262648393981298,1,2,2,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0.08163265306122448,1.4492873366998167,0.9927667269439421,0.9387755102040817,1.7552374740642935,0.9942950031886164,361,0.027700831024930747,1.0392339843792269,0.9665391359795951,0.8864265927977839,1.5363987661187035,0.9810334877228708,11.0,False,,0.1,11.0,12,,map,map,5,random_sg_100,,1,13,random,49,0.02040816326530612,0.9475518775229551,-0.004522584657131554,-0.0430382945254657,0.024749140162394045,0.1779071739499124,0.9855334538878843,0.7346938775510204,1.2901794801880326,0.9905365842132086,361,0.024930747922437674,0.9905901720484208,0.9607843137254902,0.556786703601108,1.5682942035434055,0.9777072228834727,0.0,True,11.0,False,,
,357,0,0.0,22,2,0.0,-0.06102762066505174,0.03608247422680411,-0.09090909090909094,-0.06341734619127382,0.04437647231699127,-0.008403361344537815,-0.21346856476295561,-0.0016422788260991306,-0.39495798319327724,-0.17929605267362292,0.0003670574078634692,7,16,4,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,0.0,0.4777830893343145,0.9432989690721649,0.8181818181818182,0.6049360457155641,0.9163027250371175,357,0.008403361344537815,0.8602210196460328,0.976433298845478,0.8879551820728291,1.0651796547932884,0.9889478363458114,4.0,False,,0.1,4.0,5,,map,map,6,random_sg_100,,8,19,random,22,0.0,0.4167554686692628,0.0,-0.22999698621381442,0.004590423279590139,0.23427552839317545,0.979381443298969,0.7272727272727273,0.5415186995242903,0.9606791973541088,357,0.0,0.6467524548830772,0.9747910200193789,0.49299719887955185,0.8858836021196654,0.9893148937536749,0.0,True,4.0,False,,
,356,1,0.0,73,2,0.0,-0.1647233130180672,-0.005191693290734767,-0.5753424657534247,-0.15595169123724462,-0.0026190277611942703,-0.008426966292134831,-0.3326671274190539,-0.003954283807457992,-0.5028089887640449,-0.37770896745939697,-0.0014348503982871685,12,13,1,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,0.0,0.6308920873354559,0.9948083067092651,0.9452054794520548,0.7293468620834979,0.9963458044942216,356,0.008426966292134831,0.8906573298272122,0.9829648786185033,0.9775280898876404,1.0847125206068455,0.9909399805791631,16.0,True,,0.1,16.0,17,,map,map,7,random_sg_100,,3,6,random,73,0.0,0.4661687743173887,0.0,-0.09182142809076965,0.010606018607485002,-0.10485608742496538,0.9896166134185304,0.3698630136986301,0.5733951708462532,0.9937267767330273,356,0.0,0.5579902024081583,0.9790105948110454,0.4747191011235955,0.7070035531474486,0.9895051301808759,32.0,True,16.0,False,,
,366,0,0.0,57,2,0.0,-0.24472347686165252,-0.02144772117962468,-0.5614035087719298,-0.2528132905615914,-0.013540814442128624,-0.04644808743169399,-0.2149047255516051,-0.00435243830145704,-0.5846994535519126,-0.3139032330129583,-0.0014520162939894998,1,8,4,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,0.0,0.9717157158935279,0.9872654155495979,0.9649122807017544,1.1722511504845419,0.9914321947561225,366,0.06557377049180328,1.137559771863489,0.9741505725250382,0.9672131147540983,1.4848426675768853,0.9886634801663263,12.0,True,,0.1,12.0,13,,map,map,8,random_sg_100,,2,19,random,57,0.0,0.7269922390318754,-0.01912568306010929,-0.19566280728000862,-0.003980439853607964,0.020995110727638766,0.9658176943699732,0.40350877192982454,0.9194378599229505,0.9778913803139939,366,0.01912568306010929,0.922655046311884,0.9697981342235812,0.3825136612021858,1.170939434563927,0.9872114638723368,1.0,True,12.0,False,,
,347,0,0.0,92,2,0.0,-0.20435568819875305,-0.003722084367245637,-0.5217391304347826,-0.23673182291569905,-0.0011068756054873896,-0.011527377521613832,-0.19987197430745318,-0.007624307473210745,-0.5072046109510087,-0.20742065529485476,-0.002824428197481854,14,15,2,random,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,0.0,0.689437765142192,0.996029776674938,0.967391304347826,0.8443245380638887,0.997766789440743,347,0.011527377521613832,0.8720824361191015,0.9863318223657931,0.968299711815562,1.0772465615688431,0.9943775113761385,21.0,True,,0.1,21.0,22,,map,map,9,random_sg_100,,4,4,random,92,0.0,0.48508207694343897,0.0,-0.18712838486820937,0.013600177415109993,-0.015442926951509839,0.9923076923076923,0.44565217391304346,0.6075927151481897,0.9966599138352557,347,0.0,0.6722104618116483,0.9787075148925823,0.4610951008645533,0.8698259062739884,0.9915530831786566,43.0,True,21.0,False,,
